cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
HBL-1	D5	CAY10669	500	0.121540953101689	1.08789623208675	0.178787565412803	0.239476922479534	0.620736331613476	Not a hit
HBL-1	D5	CAY10669	1000	9.08960573221634e-05	1.00006300633067	0.998526497845302	0.999249971030488	0.000325855658599971	Not a hit
HBL-1	D5	CAY10683	100	0.378395707526902	1.29989555353901	8.30977743259337e-10	5.87045567012241e-09	8.23132818711028	Not a hit
HBL-1	D5	CAY10683	500	0.380732757697184	1.30200298647665	0.00297115659882193	0.0097847112051429	2.00945198797877	Not a hit
HBL-1	D5	CAY10683	1000	0.121376319066168	1.08777209321962	0.177896236144054	0.239013961445079	0.621576730008078	Not a hit
HBL-1	D5	CBHA	100	0.255521715964042	1.19376736224055	0.0271952981480198	0.0589680227169934	1.22938343449955	Not a hit
HBL-1	D5	CBHA	500	-0.15830005813731	0.896080309414955	2.44297334778947e-08	1.62124594898756e-07	6.79015109607952	Not a hit
HBL-1	D5	CBHA	1000	-1.4072344332215	0.377033747443808	7.28222270362728e-08	4.62262832491123e-07	6.33511102391627	Hit
HBL-1	D5	CCG-100602	100	0.202403046323522	1.15061329577625	0.0751162554679178	0.123253915247532	0.909199276161145	Not a hit
HBL-1	D5	CCG-100602	500	-0.0175506355834518	0.987908523005714	0.546464906658571	0.610590890603199	0.214249679222216	Not a hit
HBL-1	D5	CCG-100602	1000	-0.108430030008191	0.927596942647082	0.188335940338772	0.247721146751898	0.606036918219754	Not a hit
HBL-1	D5	Chaetocin	100	-7.3432423383078	0.00615834181859576	1.91910671920794e-193	4.94452201772399e-192	191.305875684875	Hit
HBL-1	D5	Chaetocin	500	-8.0290442871116	0.00382839581724627	1.03722404159631e-193	3.83994619622118e-192	191.415674860749	Hit
HBL-1	D5	Chaetocin	1000	-8.26800768794232	0.00324400624465346	9.22026512953207e-194	3.83994619622118e-192	191.415674860749	Hit
HBL-1	D5	CI-994	100	-0.689511011335995	0.620063979532546	0.037183650705648	0.0730333587850844	1.13647872580953	Not a hit
HBL-1	D5	CI-994	500	-0.450491786051277	0.731793351649281	0.0935193189246147	0.143724426978882	0.842469414185942	Not a hit
HBL-1	D5	CI-994	1000	-0.729519669497495	0.603104677933128	1.60051760087122e-26	1.59324252086726e-25	24.7977181115449	Not a hit
HBL-1	D5	Cl-Amidine (hydrochloride)	100	0.410920354737154	1.32953370806485	0.00863589751678857	0.0247223732833555	1.60690984044442	Not a hit
HBL-1	D5	Cl-Amidine (hydrochloride)	500	0.308969434695371	1.23882245149786	0.00630421185922013	0.0190430675471615	1.72026309211229	Not a hit
HBL-1	D5	Cl-Amidine (hydrochloride)	1000	0.137555446404926	1.10003958975852	0.112043062728435	0.164541531746953	0.78372446408493	Not a hit
HBL-1	D5	coumarin-SAHA	100	0.0872527576147951	1.0623452912049	0.149088367521698	0.210308015432182	0.677144174809497	Not a hit
HBL-1	D5	coumarin-SAHA	500	-0.381670606562562	0.767548273184441	0.412000555824212	0.48121664920268	0.317659355289452	Not a hit
HBL-1	D5	coumarin-SAHA	1000	-2.67182600668151	0.15692792374407	8.67624306021715e-83	1.05560957232642e-81	80.9764966802276	Hit
HBL-1	D5	CPI-203	100	-0.710524632527435	0.611097874186312	0.00961356573956683	0.0269919345764761	1.56876598740425	Not a hit
HBL-1	D5	CPI-203	500	-2.25479941486998	0.209525913080893	2.24518438281358e-111	2.8923257637422e-110	109.538752793871	Hit
HBL-1	D5	CPI-203	1000	-2.779886231052	0.145603179922482	8.91227575803186e-14	7.36523921135463e-13	12.1328131433924	Hit
HBL-1	D5	CPTH2 (hydrochloride)	100	0.0360528136277052	1.0253047711661	0.368317776315893	0.434833385515798	0.361677119165626	Not a hit
HBL-1	D5	CPTH2 (hydrochloride)	500	0.113986135028578	1.0822142438927	0.173260025201082	0.233501203194074	0.631710877242621	Not a hit
HBL-1	D5	CPTH2 (hydrochloride)	1000	-0.0885993087866626	0.94043536086261	0.0531092675319598	0.0957278155514337	1.01896185130079	Not a hit
HBL-1	D5	CUDC-101	100	0.356849118169776	1.2806259222215	0.0217568502411675	0.0501552652927967	1.29968346807577	Not a hit
HBL-1	D5	CUDC-101	500	-0.788234718448949	0.579052186867174	6.12276690640122e-05	0.000285294883511036	3.54470601692634	Not a hit
HBL-1	D5	CUDC-101	1000	-3.84672361653923	0.0695057615951704	1.23219062610738e-181	2.24874789264597e-180	179.648059230634	Hit
HBL-1	D5	Daminozide	100	0.26578235242069	1.20228785589867	4.3742424082215e-07	2.6245454449329e-06	5.58094590286813	Not a hit
HBL-1	D5	Daminozide	500	0.220054660151848	1.1647777161833	0.0779143169951256	0.127311763977998	0.895131464416433	Not a hit
HBL-1	D5	Daminozide	1000	0.0561066363678638	1.03965627821488	0.267954797472532	0.335326289408483	0.474532396772588	Not a hit
HBL-1	D5	Decitabine	100	-0.366558606577234	0.775630474663111	0.000113967538049544	0.000519976892351045	3.28401595587946	Not a hit
HBL-1	D5	Decitabine	500	-1.41421173253773	0.375214703147957	0.0453214534554664	0.0843526795139387	1.07390111722856	Not a hit
HBL-1	D5	Decitabine	1000	-1.66708173366429	0.314889654893364	1.0617515634273e-152	1.55015728260386e-151	150.809624235055	Hit
HBL-1	D5	Delphinidin (chloride)	100	0.420343942456862	1.33824655841094	1.36455866148446e-22	1.27165253985148e-21	20.8956315369886	Not a hit
HBL-1	D5	Delphinidin (chloride)	500	0.37569191925717	1.29746167051448	1.08124774806043e-19	9.66503089082589e-19	18.0147967535657	Not a hit
HBL-1	D5	Delphinidin (chloride)	1000	0.151415594475017	1.11065873294386	0.00606113296923935	0.018564868814873	1.73130811528663	Not a hit
HBL-1	D5	DMOG	100	0.277836377046037	1.21237530997387	0.00603316311931306	0.018564868814873	1.73130811528663	Not a hit
HBL-1	D5	DMOG	500	0.18156895687752	1.13411658712508	0.182542944731833	0.242003024211002	0.616179206788396	Not a hit
HBL-1	D5	DMOG	1000	-0.10075032857413	0.93254785831469	0.000854139452577003	0.00331073522326307	2.48007555065049	Not a hit
HBL-1	D5	Ellagic Acid	100	-0.020851343861457	0.985650893750071	0.740578038136608	0.789229150130984	0.102796882483155	Not a hit
HBL-1	D5	Ellagic Acid	500	-0.0197555498155491	0.986399825877672	0.967157117934778	0.980589855683872	0.00851260389353758	Not a hit
HBL-1	D5	Ellagic Acid	1000	-0.0608770452689734	0.958681139306704	0.452911633701748	0.522040251477278	0.282296009793668	Not a hit
HBL-1	D5	EPZ005687	100	0.250691620850699	1.18977735167177	0.031967092655544	0.0657351482775975	1.1822023530993	Not a hit
HBL-1	D5	EPZ005687	500	0.139938757957909	1.10185834127402	0.330324703782434	0.395306612723241	0.403065920680573	Not a hit
HBL-1	D5	EPZ005687	1000	0.0116640671680107	1.00811768645672	0.872957427037673	0.906055338963272	0.0428452761946809	Not a hit
HBL-1	D5	EPZ5676	100	0.432073916138339	1.34917165705888	0.00305074384915707	0.00997183437261789	2.00122494353123	Not a hit
HBL-1	D5	EPZ5676	500	0.564923158144844	1.4793087151516	0.00215761714055502	0.00750028815526269	2.1249220510301	Not a hit
HBL-1	D5	EPZ5676	1000	0.334881744190723	1.26127401962647	0.0336373413873048	0.0678947259338226	1.16816396042935	Not a hit
HBL-1	D5	Etoposide	100	0.138707309213407	1.10091822357984	0.0805257801006423	0.128255606123932	0.891923642547713	Not a hit
HBL-1	D5	Etoposide	500	-2.7638032152746	0.147235430356954	1.95323010609856e-10	1.42585797745195e-09	8.84592373022091	Hit
HBL-1	D5	Etoposide	1000	-3.26858559783104	0.103766625019638	2.97224098308591e-182	5.66018065474621e-181	180.247169707309	Hit
HBL-1	D5	F-Amidine (trifluoroacetate salt)	100	0.42037108650961	1.33827173752078	3.06129662077232e-06	1.69814070249101e-05	4.77002632835365	Not a hit
HBL-1	D5	F-Amidine (trifluoroacetate salt)	500	0.470116284542502	1.38522111562312	0.00115150183384249	0.00423830086742026	2.37280821694507	Not a hit
HBL-1	D5	F-Amidine (trifluoroacetate salt)	1000	0.131940351177645	1.0957664605942	2.32551913732958e-07	1.43461603119768e-06	5.8432643204253	Not a hit
HBL-1	D5	Garcinol	100	-0.871233686048586	0.5466791711201	3.03907980461704e-05	0.000151263290275257	3.8202664570746	Not a hit
HBL-1	D5	Garcinol	500	-0.391670826311912	0.762246313880792	0.11153601919037	0.16450007461056	0.783833900735606	Not a hit
HBL-1	D5	Garcinol	1000	-0.819535011319483	0.566624539478473	3.0291937993225e-06	1.69814070249101e-05	4.77002632835365	Not a hit
HBL-1	D5	Gemcitabine	100	-4.14503302780083	0.0565224171078818	5.3238484542845e-42	5.82961405744153e-41	40.234360196231	Hit
HBL-1	D5	Gemcitabine	500	-3.79797364978169	0.0718945564462649	1.04579728467461e-141	1.47761035705638e-140	139.830440073444	Hit
HBL-1	D5	Gemcitabine	1000	-3.48647279727358	0.0892210046008089	9.16442784851989e-122	1.21636951443991e-120	119.914934473004	Hit
HBL-1	D5	GSK-J1 (sodium salt)	100	0.28113440065919	1.2151499893223	7.05397430245308e-05	0.000325225341523626	3.48781562158018	Not a hit
HBL-1	D5	GSK-J1 (sodium salt)	500	0.181595400023737	1.13413737452971	0.0241902072407707	0.0536018890875994	1.2708199042277	Not a hit
HBL-1	D5	GSK-J1 (sodium salt)	1000	0.0207751178677645	1.01450439694597	0.27663050840059	0.343241254049457	0.464400519980357	Not a hit
HBL-1	D5	GSK-J2 (sodium salt)	100	0.267832627878196	1.20399769312509	0.0350647034054556	0.0701294068109112	1.15409983456247	Not a hit
HBL-1	D5	GSK-J2 (sodium salt)	500	0.149901553497668	1.10949375994319	0.0534035560393657	0.0958637604313204	1.01834553901479	Not a hit
HBL-1	D5	GSK-J2 (sodium salt)	1000	-0.020280210508843	0.986041169952609	0.282988409584783	0.349125033444498	0.457019009687616	Not a hit
HBL-1	D5	GSK-J4 (hydrochloride)	100	0.261834395953231	1.19900227484474	0.000942418009826704	0.00360872080377307	2.44264671674102	Not a hit
HBL-1	D5	GSK-J4 (hydrochloride)	500	0.155292188507973	1.11364714194559	0.0230464646406165	0.0517659051927694	1.2859561873944	Not a hit
HBL-1	D5	GSK-J4 (hydrochloride)	1000	0.0263725309074137	1.01844814821993	0.342885055925894	0.409219767017824	0.388043396222285	Not a hit
HBL-1	D5	GSK-J5 (hydrochloride)	100	0.145047368704994	1.10576695890635	0.0867668378872457	0.136395187313313	0.865200953434273	Not a hit
HBL-1	D5	GSK-J5 (hydrochloride)	500	0.113407588229538	1.08178034341846	0.240080651139939	0.307471711109045	0.512194835252454	Not a hit
HBL-1	D5	GSK-J5 (hydrochloride)	1000	0.00250607477042379	1.0017385882565	0.931440255495644	0.953202878287598	0.0208146549297212	Not a hit
HBL-1	D5	GSK-LSD1 (hydrochloride)	100	0.308459263690553	1.23838445209876	0.0724020644309428	0.121969631618281	0.913748287869234	Not a hit
HBL-1	D5	GSK-LSD1 (hydrochloride)	500	0.438042549223231	1.35476493280779	0.00433861439729697	0.0139728904854123	1.8547137447795	Not a hit
HBL-1	D5	GSK-LSD1 (hydrochloride)	1000	0.188386020456259	1.13948822815131	0.180130143119495	0.240539642336399	0.618813339127221	Not a hit
HBL-1	D5	GSK126	100	0.449665023752076	1.36572311563494	0.0135057163412679	0.0338028786141448	1.47104631413046	Not a hit
HBL-1	D5	GSK126	500	0.501548534767519	1.41573234114368	0.0106386422243604	0.0288338200739565	1.54009781591441	Not a hit
HBL-1	D5	GSK126	1000	0.302417292904431	1.23320897390501	0.109044470468785	0.163566705703177	0.786305093090861	Not a hit
HBL-1	D5	GSK2801	100	0.132313830032428	1.09605016475043	0.441297368194801	0.509995375380799	0.292433762050507	Not a hit
HBL-1	D5	GSK2801	500	0.179684286729399	1.13263599691035	3.03510455180401e-06	1.69814070249101e-05	4.77002632835365	Not a hit
HBL-1	D5	GSK2801	1000	-0.178164786381406	0.883826573552367	0.11896471253244	0.172538225460956	0.763114672952119	Not a hit
HBL-1	D5	GSK343	100	0.149610663534103	1.10927007575809	0.35559054979225	0.422083091623321	0.374602045054239	Not a hit
HBL-1	D5	GSK343	500	0.363926767544766	1.28692392026561	0.00488079967443161	0.0156043084481828	1.80675547363711	Not a hit
HBL-1	D5	GSK343	1000	0.307677287956621	1.23771339954346	0.00291924106303849	0.00968657261826408	2.01382986136818	Not a hit
HBL-1	D5	GSK4112	100	0.21697911443284	1.1622972810836	0.0680783089014796	0.116024510890459	0.935450253704212	Not a hit
HBL-1	D5	GSK4112	500	0.275545913721841	1.21045203587449	2.76738136510647e-10	1.98707055396170e-09	8.70178671233042	Not a hit
HBL-1	D5	GSK4112	1000	0.0431045105376184	1.03032858914011	0.303906803736491	0.368271010277611	0.433832466787195	Not a hit
HBL-1	D5	HNHA	100	0.168434020240926	1.12383794748329	0.208098419960266	0.270466195675361	0.567887007633473	Not a hit
HBL-1	D5	HNHA	500	0.176560984729491	1.13018659652743	0.111057949125984	0.16450007461056	0.783833900735606	Not a hit
HBL-1	D5	HNHA	1000	-0.0200566174793757	0.986194001293738	0.754553036175844	0.798295241171545	0.0978364596542881	Not a hit
HBL-1	D5	HPOB	100	0.0493224725541834	1.03477885041436	0.481176682035538	0.548842152946786	0.260552540724856	Not a hit
HBL-1	D5	HPOB	500	0.230977928183586	1.1736302227549	0.0283520347303947	0.0608734863329063	1.21557182471676	Not a hit
HBL-1	D5	HPOB	1000	0.0938684081573616	1.06722798905165	0.533998106059082	0.601262648981691	0.220935774110558	Not a hit
HBL-1	D5	I-BET151	100	0.284940175009322	1.21835974026636	0.0329524527851217	0.0670665662261554	1.1734939287452	Not a hit
HBL-1	D5	I-BET151	500	-1.35378879872079	0.391263165087888	3.71321356985041e-11	2.80411645447324e-10	9.55220395415584	Hit
HBL-1	D5	I-BET151	1000	-2.29919328223531	0.20317667847606	2.34856040632158e-38	2.50894989748501e-37	36.6005080112494	Hit
HBL-1	D5	I-BET762	100	0.394575219041005	1.31455565107352	0.0301507941205835	0.0629612372499126	1.20092674625366	Not a hit
HBL-1	D5	I-BET762	500	-0.658932318961665	0.633346838314805	0.00509522591262561	0.0160554600700001	1.79437724518938	Not a hit
HBL-1	D5	I-BET762	1000	-1.57537267497838	0.335556434026721	1.76376570753887e-12	1.37951674982504e-11	10.8602730220333	Hit
HBL-1	D5	I-CBP112 (hydrochloride)	100	0.215650959308034	1.16122775447604	0.114520255864414	0.167199573562044	0.77676483455183	Not a hit
HBL-1	D5	I-CBP112 (hydrochloride)	500	0.259613985457473	1.19715834421939	0.0640780798011535	0.11093359269923	0.954936921706931	Not a hit
HBL-1	D5	I-CBP112 (hydrochloride)	1000	0.0089057247783236	1.00619207011457	0.896458863784739	0.92605892060782	0.0333613804014554	Not a hit
HBL-1	D5	IOX1	100	0.305125756326497	1.23552633035144	0.0101034642737475	0.0278321846031535	1.55545270369619	Not a hit
HBL-1	D5	IOX1	500	0.288699283268956	1.22153845649363	4.26089367340826e-05	0.000202855590103567	3.69281301991587	Not a hit
HBL-1	D5	IOX1	1000	0.0403112154019703	1.02833563331815	0.680064595156709	0.735477265873182	0.133430747081144	Not a hit
HBL-1	D5	Isoliquiritigenin	100	0.23303762030169	1.17530697580211	0.0787000051828956	0.127668897296697	0.89391489269477	Not a hit
HBL-1	D5	Isoliquiritigenin	500	0.175161781899714	1.12909101246899	0.234917189407089	0.301741140646056	0.520365472266287	Not a hit
HBL-1	D5	Isoliquiritigenin	1000	0.00554177986330576	1.00384865621726	0.929886325046366	0.953202878287598	0.0208146549297212	Not a hit
HBL-1	D5	ITF 2357	100	-0.101796104237494	0.931872121273836	0.283763725813336	0.349125033444498	0.457019009687616	Not a hit
HBL-1	D5	ITF 2357	500	-5.41742703805177	0.0233987125511246	7.23920802357193e-95	9.05935175521287e-94	93.0429028772908	Hit
HBL-1	D5	ITF 2357	1000	-8.22554034196015	0.00334091653950728	9.49028285235839e-194	3.83994619622118e-192	191.415674860749	Hit
HBL-1	D5	JGB1741	100	0.223576650299184	1.16762471227743	9.08722906774926e-06	4.79542931527009e-05	4.31917250613533	Not a hit
HBL-1	D5	JGB1741	500	0.26351664143552	1.20040117934266	0.0100741482060719	0.0278321846031535	1.55545270369619	Not a hit
HBL-1	D5	JGB1741	1000	-0.0141098698713627	0.990267454261415	0.825386749133122	0.862814787876629	0.0640824200852756	Not a hit
HBL-1	D5	JIB-04	100	-2.63042286403123	0.161496761058855	1.87485986027133e-09	1.3034739980934e-08	7.88489762778463	Hit
HBL-1	D5	JIB-04	500	-4.16354234076994	0.0558018846739384	1.47551913917397e-16	1.2925547659164e-15	14.8885510466623	Hit
HBL-1	D5	JIB-04	1000	-5.0423730347098	0.0303455118441654	9.44935798299911e-68	1.11859967474422e-66	65.9513253112878	Hit
HBL-1	D5	LAQ824	100	-2.53266978701395	0.172818577076974	0.00238231928526512	0.00808880501508622	2.09211563335523	Not a hit
HBL-1	D5	LAQ824	500	-7.80857606930502	0.00446050858639851	1.17575438198256e-193	3.83994619622118e-192	191.415674860749	Hit
HBL-1	D5	LAQ824	1000	-8.15136908983854	0.00351717030839549	8.63067641002187e-194	3.83994619622118e-192	191.415674860749	Hit
HBL-1	D5	Lestaurtinib	100	-1.73894507312661	0.299588661179299	1.47125507281144e-05	7.49313630106292e-05	4.12533636746047	Hit
HBL-1	D5	Lestaurtinib	500	-4.24658568898747	0.0526805533946739	8.5052004926536e-43	9.55199439944173e-42	41.0199059408517	Hit
HBL-1	D5	Lestaurtinib	1000	-5.17896790475636	0.0276042094552945	1.79129085946646e-191	3.73612093545862e-190	189.427579074425	Hit
HBL-1	D5	Lomeguatrib	100	0.0928104830327752	1.0664456799645	0.259336026875497	0.326962774902106	0.485501689464684	Not a hit
HBL-1	D5	Lomeguatrib	500	0.174447074223346	1.12853180200624	0.0229944734587044	0.0517659051927694	1.2859561873944	Not a hit
HBL-1	D5	Lomeguatrib	1000	-0.0192674654927059	0.986733595473241	0.830033518508459	0.863550311417352	0.0637123548719502	Not a hit
HBL-1	D5	M 344	100	0.325043592131285	1.25270228940763	0.00155641003692645	0.00554233818027468	2.25630697813043	Not a hit
HBL-1	D5	M 344	500	-1.42400162905963	0.372677175880591	3.17142073911856e-05	0.0001560766610937	3.80666203425995	Not a hit
HBL-1	D5	M 344	1000	-3.70803775474524	0.0765190220269781	1.90557165536916e-128	2.60825120328654e-127	126.583650583589	Hit
HBL-1	D5	MC 1568	100	0.294599476820446	1.22654441486647	0.0189346583068458	0.0453190182426145	1.34371950693824	Not a hit
HBL-1	D5	MC 1568	500	0.29596325069803	1.22770441060125	0.0304911936288233	0.0629959566482293	1.2006873245419	Not a hit
HBL-1	D5	MC 1568	1000	0.107463872238707	1.07733271716733	0.366462046543813	0.433811828070784	0.362698610929841	Not a hit
HBL-1	D5	Methylstat (hydrate)	100	0.254692095930699	1.19308108510721	0.0145250949651324	0.0361476795155	1.44191957681924	Not a hit
HBL-1	D5	Methylstat (hydrate)	500	0.269270995662473	1.20519867810844	0.0571459045370671	0.101747586126973	0.992475885239557	Not a hit
HBL-1	D5	Methylstat (hydrate)	1000	0.179871112036841	1.13278267986419	0.00234456599890634	0.00802281177750763	2.09567339662322	Not a hit
HBL-1	D5	MI-2 (hydrochloride)	100	0.389587112911965	1.31001843403621	0.0383372625891368	0.0746298711735196	1.1270873080604	Not a hit
HBL-1	D5	MI-2 (hydrochloride)	500	0.395045875762751	1.31498457428186	4.58925715905811e-06	2.51261829458432e-05	4.5998734824169	Not a hit
HBL-1	D5	MI-2 (hydrochloride)	1000	0.153239540633435	1.11206378582907	0.0125212814093517	0.032260713278212	1.49132603467282	Not a hit
HBL-1	D5	MI-nc (hydrochloride)	100	0.443593753530963	1.35998784141775	0.00565390489330696	0.0176886453090603	1.75230542640786	Not a hit
HBL-1	D5	MI-nc (hydrochloride)	500	0.404780145994839	1.32388714629279	0.000136206486315727	0.000615035474291633	3.21109983407045	Not a hit
HBL-1	D5	MI-nc (hydrochloride)	1000	0.000226891545344854	1.0001572816024	0.997110298175985	0.999249971030488	0.000325855658599971	Not a hit
HBL-1	D5	Mirin	100	0.153952301338697	1.11261333454037	0.0213779983283688	0.0500725308439868	1.30040045725696	Not a hit
HBL-1	D5	Mirin	500	0.0640720937926442	1.04541233983671	0.111544571140037	0.16450007461056	0.783833900735606	Not a hit
HBL-1	D5	Mirin	1000	-0.11254645333102	0.9249540144548	0.281813905326606	0.348685001505801	0.457566733161329	Not a hit
HBL-1	D5	MS-275	100	0.345546437232767	1.27063215785733	0.0364722758886489	0.0722004912547053	1.14145984746524	Not a hit
HBL-1	D5	MS-275	500	-1.46138653014226	0.363143955002237	0.00168990959021336	0.00596919677833429	2.224084104081	Not a hit
HBL-1	D5	MS-275	1000	-4.51796042761629	0.0436474013489796	3.79258695118518e-189	7.55069583917777e-188	187.122013023842	Hit
HBL-1	D5	MS-436	100	0.324221300156676	1.25198849092167	0.0244757484418262	0.0536018890875994	1.2708199042277	Not a hit
HBL-1	D5	MS-436	500	0.332719725582304	1.25938529360804	0.0244281241564236	0.0536018890875994	1.2708199042277	Not a hit
HBL-1	D5	MS-436	1000	0.0178568590895319	1.01245434895635	0.665763246264935	0.72538383548269	0.139432126504259	Not a hit
HBL-1	D5	N-Oxalylglycine	100	0.143590102214175	1.10465058744327	0.151503857561274	0.211333406407127	0.675031846669759	Not a hit
HBL-1	D5	N-Oxalylglycine	500	0.315347351444888	1.24431120466289	0.0673763555783864	0.115276733372395	0.938258338738512	Not a hit
HBL-1	D5	N-Oxalylglycine	1000	-0.0276391066563235	0.981024378706929	0.691333955992851	0.7451035414695	0.127783372400285	Not a hit
HBL-1	D5	Nicotinamide	100	0.193611748306898	1.14362316499186	0.000955734276798347	0.00360872080377307	2.44264671674102	Not a hit
HBL-1	D5	Nicotinamide	500	0.155483336886663	1.11379470324048	0.0915697594675941	0.141223783967628	0.850092156144993	Not a hit
HBL-1	D5	Nicotinamide	1000	0.000102299898110341	1.00007091140004	0.995903551648046	0.999249971030488	0.000325855658599971	Not a hit
HBL-1	D5	Nullscript	100	0.202600166776158	1.15077051882258	0.130657802309892	0.185805576012119	0.730941257000302	Not a hit
HBL-1	D5	Nullscript	500	0.222286058920143	1.16658065756007	2.86347239927123e-14	2.41192482861692e-13	12.617636231783	Not a hit
HBL-1	D5	Nullscript	1000	-0.170683364041839	0.888421761098381	0.00145290109639276	0.00525926182000024	2.27907520831737	Not a hit
HBL-1	D5	Octyl-α-ketoglutarate	100	0.228286946464998	1.17144315356288	0.0797270439716437	0.128255606123932	0.891923642547713	Not a hit
HBL-1	D5	Octyl-α-ketoglutarate	500	0.239969373794629	1.18096759103083	0.0560989526307452	0.100291188784761	0.998737220820564	Not a hit
HBL-1	D5	Octyl-α-ketoglutarate	1000	0.041248251171648	1.02900375806998	0.320562358952186	0.38573162972818	0.413714747825167	Not a hit
HBL-1	D5	OTX015	100	-0.0257183528085727	0.982331350175894	0.724456115947087	0.777669766712761	0.109204784682581	Not a hit
HBL-1	D5	OTX015	500	-1.58982261895851	0.332212296903397	2.4258206911284e-09	1.660171035491e-08	7.77984716741563	Hit
HBL-1	D5	OTX015	1000	-2.3043666414018	0.202449412094135	9.57168145411196e-14	7.76369717944637e-13	12.1099314124723	Hit
HBL-1	D5	Oxamflatin	100	-0.0606475121006475	0.958833677867486	0.642526578222735	0.703566603153895	0.152694783782811	Not a hit
HBL-1	D5	Oxamflatin	500	-2.01582047241284	0.247273497657669	3.50784363062227e-15	3.0126186474756e-14	13.5210558400422	Hit
HBL-1	D5	Oxamflatin	1000	-4.19118437493383	0.0547428981588742	2.64838721024556e-155	4.14283427888413e-154	153.382702438945	Hit
HBL-1	D5	Panobinostat	100	-7.85339342392284	0.00432407294470099	1.14032444601037e-193	3.83994619622118e-192	191.415674860749	Hit
