cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
OCI-Ly1	D5	Butyrolactone 3	500	0.794721850645681	1.73474288633726	0.000966993322550131	0.00277652001588526	2.55649919135865	Not a hit
OCI-Ly1	D5	Butyrolactone 3	1000	0.596888914851776	1.51245153651658	0.00157779952720293	0.00416310959587279	2.38058215595053	Not a hit
OCI-Ly1	D5	C646	100	0.0669926993737986	1.04753082615252	0.717885029335298	0.734658044039394	0.133914761792302	Not a hit
OCI-Ly1	D5	C646	500	-0.332393978430866	0.794217481567275	0.27834622779337	0.310217933265893	0.508333099838662	Not a hit
OCI-Ly1	D5	C646	1000	-0.0733089805936418	0.950455521295821	0.410943662906541	0.440477183501849	0.356076582906602	Not a hit
OCI-Ly1	D5	CAY10398	100	0.825723357926868	1.77242349708641	0.00133829013330215	0.00364081415146796	2.43880148944066	Not a hit
OCI-Ly1	D5	CAY10398	500	0.522175009883402	1.43611871218194	0.000614349042281794	0.00190840340793919	2.71932981656927	Not a hit
OCI-Ly1	D5	CAY10398	1000	-0.202549076757184	0.869013758323285	0.792502278076897	0.807246506506235	0.0929938257884692	Not a hit
OCI-Ly1	D5	CAY10591	100	0.959527257263128	1.9446725595308	0.00132615522587143	0.00363034993082304	2.44005151113444	Not a hit
OCI-Ly1	D5	CAY10591	500	0.691178134184187	1.61460149672791	0.00669532074394012	0.0128430001793453	1.89133351138135	Not a hit
OCI-Ly1	D5	CAY10591	1000	0.591419398708045	1.50672841650617	0.00662303005126887	0.0127792386011267	1.89349502107432	Not a hit
OCI-Ly1	D5	CAY10603	100	-0.0361295737475055	0.975267865200254	0.475045687733905	0.502584568182247	0.298790850515003	Not a hit
OCI-Ly1	D5	CAY10603	500	-1.51363595197462	0.350227445067452	0.000750589430551909	0.00222133899041714	2.65338516030181	Not a hit
OCI-Ly1	D5	CAY10603	1000	-3.45238239734481	0.0913543731409652	1.19418815296179e-21	8.71757351662107e-21	20.0596043814652	Hit
OCI-Ly1	D5	CAY10669	100	0.950042093932966	1.93192902548264	0.00380608518435022	0.00841952177144139	2.07471257571204	Not a hit
OCI-Ly1	D5	CAY10669	500	0.606913723306963	1.52299765799383	0.0946814099816374	0.120905124116493	0.917555292783895	Not a hit
OCI-Ly1	D5	CAY10669	1000	0.766746345859193	1.70142828818335	0.00265404274416851	0.00635229902702627	2.19706906619639	Not a hit
OCI-Ly1	D5	CAY10683	100	0.822571348158851	1.76855532153005	0.0137233027034562	0.0226822889966559	1.64431312048217	Not a hit
OCI-Ly1	D5	CAY10683	500	0.636619495027405	1.5546819766138	0.000248314355494078	0.000861785656765704	3.06460073842048	Not a hit
OCI-Ly1	D5	CAY10683	1000	0.426877893917674	1.344321209369	0.0338130250525693	0.0493670165767512	1.30656311793754	Not a hit
OCI-Ly1	D5	CBHA	100	0.855522591488176	1.80941406558093	0.00410628754780344	0.00885987165486653	2.05257256930787	Not a hit
OCI-Ly1	D5	CBHA	500	0.117103148370653	1.08455494849875	0.000969880279521562	0.00277652001588526	2.55649919135865	Not a hit
OCI-Ly1	D5	CBHA	1000	-0.463968351082046	0.724989320615429	0.00153497214309937	0.00407465332531833	2.38990933546533	Not a hit
OCI-Ly1	D5	CCG-100602	100	0.930757299724519	1.90627637642246	0.0133068821113435	0.0220773271392744	1.65605350698132	Not a hit
OCI-Ly1	D5	CCG-100602	500	0.451463098103414	1.36742631871004	0.00359705159373229	0.00803830917374869	2.09483529375598	Not a hit
OCI-Ly1	D5	CCG-100602	1000	0.687983865168075	1.61103056453176	0.00622289282318153	0.0122225428545	1.91283843134453	Not a hit
OCI-Ly1	D5	Chaetocin	100	-6.55166055307575	0.0106599128004285	6.25366340469653e-125	2.49009506477916e-123	122.603784072454	Hit
OCI-Ly1	D5	Chaetocin	500	-7.30807285175558	0.00631031241525297	2.29002989602506e-125	1.43290442065568e-123	122.843782777479	Hit
OCI-Ly1	D5	Chaetocin	1000	-7.71275252439805	0.00476683523681403	1.65783512605154e-125	1.35658084936385e-123	122.867554318094	Hit
OCI-Ly1	D5	CI-994	100	-4.12661309399075	0.0572487064615321	5.84338516884416e-38	5.11880540790748e-37	36.2908313799005	Hit
OCI-Ly1	D5	CI-994	500	-1.59403858683655	0.33124289460212	0.00104095104083259	0.0029415261669979	2.53142728389654	Not a hit
OCI-Ly1	D5	CI-994	1000	-1.10352601601559	0.465377699235649	0.00547274783616636	0.0109454956723327	1.96076456640445	Not a hit
OCI-Ly1	D5	Cl-Amidine (hydrochloride)	100	0.875537722483301	1.83469178681988	0.00459015186219882	0.00943890382931025	2.02507843880828	Not a hit
OCI-Ly1	D5	Cl-Amidine (hydrochloride)	500	0.451843221750076	1.36778665790009	0.0771882299238621	0.101009169181544	0.995639201027234	Not a hit
OCI-Ly1	D5	Cl-Amidine (hydrochloride)	1000	0.702332619525514	1.62713349562402	1.28468331681871e-15	8.39837750397903e-15	14.0758046078821	Not a hit
OCI-Ly1	D5	coumarin-SAHA	100	0.104935806244253	1.07544653662391	0.0712422502002676	0.0951344682552354	1.02166210492443	Not a hit
OCI-Ly1	D5	coumarin-SAHA	500	-1.05055094828683	0.482783759807719	0.00913992568225578	0.016541587382777	1.78142281651857	Not a hit
OCI-Ly1	D5	coumarin-SAHA	1000	-2.05668908149178	0.240367028563733	4.45728426258711e-20	3.14885565647283e-19	18.501847246964	Hit
OCI-Ly1	D5	CPI-203	100	-1.11439725277537	0.461884086784736	4.16851740820989e-19	2.89811210285069e-18	17.5378848194488	Hit
OCI-Ly1	D5	CPI-203	500	-2.14229052251521	0.226519864567091	9.78731974942013e-86	1.29904425765031e-84	83.8863760525252	Hit
OCI-Ly1	D5	CPI-203	1000	-2.34389174788875	0.196978251151123	7.92275207408711e-94	1.19660876153454e-92	91.9220478215908	Hit
OCI-Ly1	D5	CPTH2 (hydrochloride)	100	0.0559233730116787	1.03952422064726	0.528603281060562	0.551257707391729	0.258645325407465	Not a hit
OCI-Ly1	D5	CPTH2 (hydrochloride)	500	0.151874607812116	1.11101216056829	0.153134165351063	0.186020963695424	0.73043811006052	Not a hit
OCI-Ly1	D5	CPTH2 (hydrochloride)	1000	-0.184216357991681	0.880127012837513	0.0458325718104766	0.0637290998507579	1.19566221572082	Not a hit
OCI-Ly1	D5	CUDC-101	100	-0.141444669231332	0.906610849158956	0.830504197692812	0.842038978216323	0.0746678044237993	Not a hit
OCI-Ly1	D5	CUDC-101	500	-3.45944376160688	0.0909083257427537	0.0030870583681535	0.00719218917686826	2.14313889783358	Not a hit
OCI-Ly1	D5	CUDC-101	1000	-3.3599574794834	0.097398443037253	0.000817765377842547	0.00240390090936266	2.61908343825164	Not a hit
OCI-Ly1	D5	Daminozide	100	0.363383039967071	1.28643899159864	0.0360000948182759	0.0516984968209995	1.28652208421429	Not a hit
OCI-Ly1	D5	Daminozide	500	0.325929312591947	1.25347160286673	0.0633348760408908	0.0856193694626857	1.06742797481851	Not a hit
OCI-Ly1	D5	Daminozide	1000	0.141244935762459	1.10285638630926	0.342011216505436	0.374502282073452	0.426545531532237	Not a hit
OCI-Ly1	D5	Decitabine	100	-1.26502486083859	0.41609219710163	7.03941967198976e-43	7.17038561937562e-42	41.1444574875869	Hit
OCI-Ly1	D5	Decitabine	500	-2.01732052625999	0.247016526653832	0.000198151555146847	0.000699922428663863	3.15495008951433	Not a hit
OCI-Ly1	D5	Decitabine	1000	-2.45486696559855	0.182394361280084	2.51014885558827e-41	2.44321155277258e-40	39.612038926713	Hit
OCI-Ly1	D5	Delphinidin (chloride)	100	0.969646517197974	1.95836070744763	0.00194024351990441	0.00485615235267504	2.31370769654397	Not a hit
OCI-Ly1	D5	Delphinidin (chloride)	500	0.475307108668314	1.390214125323	0.130111909992537	0.160985922533139	0.793212099331375	Not a hit
