OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ACADSB	2298.75	1412.38	2460.08	2196.05	2044.03	1715.53	2252.26	1738.45	2068.68
ACADVL	2874.6145	1918.52000703522	2752.435	3005.5356	2712.534	2246.721	3479.0535	2844.02	3074.1532
ACAN	0	0	0	0	0	0	7	2	3
ACAP1	1753	1138	1623	1766	1500	1071	2198	1808	1869
ACAP2	4834.36	3372.9	5436.84	4594.89	5259.65	4202.43	6951.84	5477.08	6415.81
ACAP3	545	317	551	663	524	386	819	633	754
ACAT1	3934	2680	3744	3809	3693	3020	4003	3022	3695
ACAT2	3694.29	2343.81	3724.76	3560.92	3265.36	2663.99	4474.56	3203.37	3942.2
ACBD3	2037	1436	2282	1933	2112	1712	3142	2226	2623
ACBD4	86.9436	42.6974	47.5652	71.77020017893	72.50395	56.9588	104.6507	58.12411	106.47933
ACBD5	906.0078	732.9504	978.0295	968.10921	1046.799	785.47784	1570.4303	1207.2972	1299.8361
ACBD6	1224	826	1195	1180	1139	924	1914	1489	1637
ACBD7	591.155	400.444	621.641	604.465	595.886	470.325	712.907	589.473	708.366
ACCS	81.00005	42	68	99.99999	69.99998	47	77.99995	82	95
ACCSL	0	0	0	0	0	0	0	0	1
ACD	619	458	570.0002	627.9998	588.99955	398.0000075	888	801.9999	774.00041
ACE	6	2	6	12	5	13	20.000014	15	11
ACE2	0	0	0	0	0	0	2	0	0
ACER1	0	0	0	0	0	0	0	0	1
ACER2	60	32	66	69	73	62	123	94	112
ACER3	373.769	239.281	430.617	422.281	409.165	331.68	633.624	487.337	604.643
ACHE	2	3	2	0	3	1	10	3	1
ACIN1	6385.8870486015	4102.90400653045	5984.04300002831	6116.72419	5495.0119722	4485.6640280814	7288.2980479478	6146.00698	6557.658
ACLY	11979	8404	11536	11735	10462	8300	13401	10068	11387
ACMSD	13	11	10	7	7	5	2	0	9
ACN9	1175	864	1388	1083	1162	1016	1656	1226	1574
ACO1	1210	860	1095	1137	1070	795	1599	1301	1433
ACO2	4396.56	2828.87	3840.86	4321.88	3991.93	3042.13	5014.39	4262.88	4582.62
ACOT1	37.5952	14.0552	75.0174	34.9222	44.6155	16.6059	77.1116	48.9146	63.9491
ACOT11	21	7	15	19	6	11	12	6	6
ACOT12	0	0	3	0	0	0	2	0	3
ACOT13	1606.8781	1210.6914	1831.315	1528.2226	1661.631	1327.6117	1745.1158	1212.6668	1565.11
ACOT2	468.4052	327.9447	378.9827	450.0781	397.3847	348.3936	702.888	506.085	587.051
ACOT4	31	25	31	36	27	23	97	57	59
ACOT6	0	1	0	0	2	3	1	0	0
ACOT7	971.8469	631.99977	814.999709904	1022.8558	855.7551	637.9468	1157.932538851	977.000144128	1072.9137
ACOT8	524.789	270.587	444.903	462.134	387.088	322.584	707.802	542.65	613.019
ACOT9	355.0002	210.9999	370.0002	325.0004	348.0001	238.9997	448.0004	325	436.9999
ACOX1	2195.466	1513.75	2095.4573	2106.145	2131.636	1548.0756	2621.03	1994.67	2404.776
ACOX2	2	0	0	0	1	0	0	0	0
ACOX3	311.0004	194.0004	255.0002	333	322	223.9997	676.0003	338.0002	540
ACOXL	19	11	24	19	15	9	36	25	25
ACP1	4334.0034	2950.0004	4522.9972	4272.9998	4481.0011	3536.0026	6201	4412.0038	5660.004
ACP2	304.0005	189.8772	281.8038	257.8679	238.7907	197.79571	344.81136	262.8496	349.5299
ACP5	101	80	103.9999	129.99996	83	66	163.9999	164.00027	155
ACP6	106	53	85	113	91	79	189	191	161
ACPL2	66	24	49	50	76	61	139	126	143.0003
ACPP	63.14143	49.64218	64.38566	43.415	41.2653	39.1934	52.6093	15.069	29.2157
ACPT	152	70	132	138	122	90	151	106	160
ACR	0	0	0	0	0	0	0	0	0
ACRBP	109	59	95	113	81	75	101	82	86
ACRC	104	90	94	100	98	79	228	183	202
ACRV1	33	16	26.00002	17.9999740187	26	19	29	26.99997735	35
