OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
OR5A1	0	0	0	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0	0	0	0
OR5AN1	0	0	2	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0	0	0	0
OR5AU1	0	0	0	0	0	0	0	0	0
OR5B12	0	0	0	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0	0	0	0
OR5B21	0	0	0	0	0	0	0	0	5
OR5B3	0	0	0	0	0	0	0	0	0
OR5C1	1	0	1	1	1	2	0	0	0
OR5D13	0	0	0	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0	1	0	0
OR5D16	0	0	0	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0	0	3	0
OR5E1P	0	2	4	0	2	4	0	0	0
OR5F1	0	0	0	0	0	0	0	0	0
OR5H1	0	0	0	0	0	0	0	0	1.21235e-06
OR5H14	0	0	0	0	0	0	0	0	0.999998
OR5H15	0	0	0	0	0	0	0	0	1.21235e-06
OR5H2	0	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0	0	0	0
OR5K1	1	0	0	0	0	0	0	0	0.184381
OR5K2	0	0	2	0	0	1	1	0	0.815619
OR5K3	0	0	0	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0	0	0	0
OR5P2	1	0	1	0	0	0	0	2	0
OR5P3	0	0	0	0	1	0	1	0	0
OR5R1	0	0	0	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0	0	0	0
OR5V1	0	0	0	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0	0	0	0
OR6A2	10	2	8	5	2	4	3	0	2
OR6B1	0	0	0	0	0	0	0	0	0
OR6B2	0	0	0	0	0	0	0	5	0
OR6B3	0	0	0	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0	0	0	0
OR6C2	0	0	0	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0	0	0	0
OR6C65	0	0	0	0	0	0	0	0	0
OR6C68	0	0	0	0	0	0	0	0	0
OR6C70	0	0	0	0	0	0	3	0	0
OR6C74	0	0	0	0	0	0	0	0	1
OR6C75	0	0	0	0	0	0	0	0	0
OR6C76	0	0	0	0	0	0	0	0	0
OR6F1	0	0	0	0	0	0	0	0	0
OR6K2	0	0	0	0	0	0	0	0	0
OR6K3	0	0	0	0	0	0	0	0	0
OR6K6	0	0	0	0	0	0	0	0	0
OR6M1	0	0	0	0	0	0	0	0	0
OR6N1	0	0	0	0	0	0	0	0	0
OR6N2	0	0	0	0	0	0	0	0	0
OR6P1	0	0	0	0	0	0	0	0	0
OR6Q1	0	0	0	0	0	0	0	0	0
OR6S1	4	0	0	2	3	0	5	0	2
OR6T1	0	0	0	0	0	0	0	0	0
OR6V1	0	4	0	0	1	0	0	0	0
OR6W1P	19.1615	35.3376	10.7486	12.7705	20.1866	5.29759	10.4979	9.66516	11.6982
OR6X1	0	1	0	0	0	0	0	0	0
OR6Y1	0	0	0	0	0	0	0	0	0
OR7A10	2	0	0	2	0	0	0	1	0
OR7A17	0	0	0	0	0	0	2	0	5
OR7A5	0	0	0	0	0	0	3	0	0
OR7C1	0	0	0	0	0	0	0	0	0
OR7C2	0	0	0	0	0	0	0	0	0
OR7D2	210.434	145.879	200.503	177.876	200.27	125.561	165.566	128.954	185.806
OR7D4	0	0	0	0	0	0	1	0	0
OR7E12P	23.962	8.25196	18.3132	20.3808	18.0239	16.9437	39.6209	11.9218	29.0968
OR7E14P	68.1959	71.7158	72.3312	60.0795	52.9634	41.7499	66.6086	21.1533	71.0497
OR7E156P	304.659	179.386	311.438	254.361	198.058	158.222	262.114	183.858	224.866
OR7E24	7	4	4.14994	4.49636	3.25006	3	4	17.1045	4
OR7E2P	4.28318	2.14342	5.18436	5	0	0	2.1021	4	4.90334
OR7E37P	65.4517	47.7654	107.423	88.1051	69.5018	49.4065	47.7195	35.3602	30.9447
OR7E5P	38.0275	16.0225	21.886	26.5516	18.95	18.063	27.0397	14.1371	10.7034
OR7E91P	13.4283	15.8566	15.2589	13	18	10	22.8979	9	18.3745
OR7G1	0	0	0	0	0	0	0	0	2
OR7G2	0	0	0	0	0	0	0	0	0
OR7G3	0	0	0	0	0	0	0	0	0
OR8A1	0	0	0	0	0	0	0	0	0
OR8B12	0	0	0	0	0	0	0	0	0
OR8B2	0	0	0	0	0	0	0	0	0
OR8B3	0	0	0	0	0	0	0	0	0
OR8B4	0	0	0	0	0	0	0	0	0
OR8B8	0	0	0	0	0	0	0	0	0
OR8D1	0	0	0	0	0	0	0	0	0
OR8D2	0	0	0	0	0	0	0	0	2
OR8D4	0	0	0	0	0	0	0	0	0
OR8G1	0	0	0	0	0	0	2	0	0
OR8G2	0	0	0	0	0	0	0	0	0
OR8G5	0	0	0	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0	0	0	0
OR8J3	0	0	0	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0	0	0	0
OR8S1	0	0	0	1	2	0	3	2	5
OR8U1	0	0	0	0	0	0	0	0	0
OR8U8	0	0	0	0	0	0	0	0	0
OR9A2	2	0	2	1	0	0	0	0	0
OR9A4	0	0	0	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0	0	0	0
OR9G9	0	0	0	0	0	0	0	0	0
OR9I1	0	0	0	0	0	0	0	0	0
OR9K2	0	0	0	0	0	0	0	1	0
OR9Q1	11.0625	4.04531	13.0889	6	3.05501	5.09942	3.02872	0	6.12132
OR9Q2	0	0	0	0	0	0	0	0	0
ORAI1	158	88	110	104	133	90	313	233	245
ORAI2	10271.553	6600.826	8920.24	9178.388	8468.325	6279.7711	9452.59	7679.0923	8672.382
ORAI3	130.226	113.188	121.103	109.104	113.105	84.107	179.299	137	170.16
ORAOV1	261.557	133.698	234.254	239.201	236.494	157.554	315.312	266.533	281.479
ORC1	3636.514	2440.805	3522.799	3582.988	3352.772	2647.152	4547.218	3219.94	3880.782
ORC2	2170.003	1541.003	2439.003	2189.001	2314.998	1863.997	2781.004	2012.996	2697.001
ORC3	1903.999	1467.0004	2026.9993	1961.0001	2146.999	1767.001	3231.004	2321.999	2887.998
ORC4	3962.80000012123	2887.0734633	4310.4606	4025.5702	4298.2109	3090.732	3941.3542	3511.668	4159.7399
ORC5	1793.9957	1271.9953	1866.0042	1815.0021	2087.004	1691.0021	2291.9982	1779.998	2209.9986
ORC6	2865.113	1969.608	2943.218	2618.046	2974.099	2247.885	4176.386	3150.118	3851.665
ORM1	0	0	0	0	0	1.99952	3.58922	10.8252	0
ORM2	13	11	11	11	9	0.000475613	21.4108	7.17479	25
ORMDL1	1239.558	840	1456	1323.564	1584	1261	2461	1809	2232.625
ORMDL2	417.432	307.65	426.808	400.921	358.278	320.664	513.655	401.265	553.403
ORMDL3	2159	1475	1884	2295	2181	1546	3698	2858	3425
OS9	3435.999	2425.0001	3427.002	3415.0015	3174.0013	2589.9991612	5864.9981	4505.006	4978.0054
OSBP	2228	1647	2274	2177	1936	1695	2673	2061	2471
OSBP2	17	13	14	25	10	12	34	28	42
OSBPL10	2359.9996	1591.9965	2360.996	2178.9964	1931.997	1689.004	2251.997	1820.004	2108.001
OSBPL10-AS1	16.2329	18.3813	25.3809	11.3517	10.2006	8.14597	13.0849	7.08705	7.06825
OSBPL11	995	617	986	936	866	723	1032	809	883
OSBPL1A	2	2	2	7	4	1	5	10	10
OSBPL2	894.509	676.168	975.1974	919.3064	939.4441	688.32	1755.9229	1240.015	1461.76
OSBPL3	5237.0038	3802.0006	5269.0037	4913.0014	5291.998	4006.0033	6859.998	5210	5950.0024
OSBPL5	0	0	0	0	0	0	0.9999998	0	4.000003
OSBPL6	35.0605	39.60612	22.769112206414	43.93572	62.880200200414	38.0384	271.6115	214.9593	213.7586
OSBPL7	376	210	379	472	412	336	926	758	890
OSBPL8	3824.998	2673.997	4316.996	3642.999	4305	3569.004	5580	4421.001	5194
OSBPL9	3692.988420376	2622.0049	4160.00639	3946.9951	3844.9971	3126.00402	5332.9989	4062.98315	4702.9881
OSCAR	30.8157	38.99998	48.618240578263	27.48963305225	33.9271	27.49325	65.099344632	39.999985139	57.7733
OSCP1	29	17.99996	43	25.99999	27	30.00003	80	82	92
OSGEP	1309	838	1284	1252	1189	909	1744	1454	1459
OSGEPL1	352	236	363	370	420	298	384	235	332
OSGIN1	8	6	1	11	12	2	18	11	11
OSGIN2	2894	2268.002	3401.996	3000	3448	2792.004	4905	3728	4213
OSM	2	0	2	0	1	0	5	0	0
OSMR	52.6373	41.6181	51.9096	30.2965	42.459	30.4224	53.1227	35.528	48.3592
OSR1	0	0	0	0	0	0	0	0	0
OSR2	63	37	48	63	64	38.0000245	143	104	113
OST4	1671.66	1139.96	1584.15	1568.74	1486.14	1224.65	1994.98	1383.68	1718.21
OSTC	1546.9103	1170.4284	1749.1019	1551.4259	1614.84231	1371.3041	2037.6871	1608.1338	1795.4207
OSTCP1	83.3309	69.568	87.1306	66.0753	72.3531	59.0768	89.575	93.2972	85.206
OSTF1	1620	1197	1831	1592	1649	1348	1950	1469	1663
OSTM1	828.805	555.157	790.102	777.424	847.289	682.425	1229.58	962.334	1158.23
OSTN	0	0	0	0	0	0	0	0	0
OTC	0	0	0	0	0	0	0	0	0
OTOA	0	5.50924	6.38693	0	1.03931	1	11.2299	4	0
OTOF	0	0	1	0	0	1	2	0	2
OTOGL	0	0	0	0	0	0	0	3	0
OTOL1	0	2	0	0	2	0	0	0	0
OTOP1	0	3	0	1	0	2	0	1	7
OTOP2	0	0	0	1	0	0	0	0	1
OTOP3	0	0	0	0	0	0	0	0	0
OTOR	0	0	0	0	0	0	0	0	0
OTOS	0	0	1	0	0	0	0	0	2
OTP	2	0	5	7	3	6	38	41	20
OTUB1	1930.001	1339.004	1696.998	1796.999	1687.997	1279	2284.001	1810.997	2128.003
OTUB2	122	66	132	83	87	91	144	123	111
OTUD1	27	17	24	39	29	40	108	64	96
OTUD3	1109.91	793.939	1141.2	1031.1	1149.8	867.222	1381.97	1085.2	1243.82
OTUD4	1989.0038	1276.0042	1950.0013	1726.0022	1870.9956	1531.9971	1838.0035	1594.0035	1959.0012
OTUD5	1317.9988	863.0007	1319.0003	1361.0007	1244.9995	979.9996	2048	1665.0005	1762.9999
OTUD6A	22.3875	27.2985	29.3593	42.4215	34.4722	15.2339	19.1586	32.3079	28.2629
OTUD6B	2858	2030	3251	2503	3107	2637	3959	3001	3578
OTUD7A	20.3376	3.03442	14	20	14.0368	15.1696	13.2132	14.0935	30.3943
OTUD7B	257	187	251	270	266	184	644	485	482
OTX1	37	21	32	44	47	41	76.6163	50	74.593
OTX2	0	0	0	0	0	0	0	0	0
OTX2-AS1	178.573	117.35	220.222	179.681	150.349	126.887	162.496	105.648	149.482
OVCA2	607.619	409.745	650.747	616.016	539.629	418.239	783.308	671.699	615.731
OVCH1	0	0	0	0	0	0	0	0	0
OVCH2	3	6	5	5	8	8	11	2	10
OVGP1	39	19	41	43	41	32	116	84	103
OVOL1	0	0	0	0	1	1	0	0	1
OVOL2	8	8	15	14	8	9	24	4	20
OVOL3	27	10	20	29	16	13	25	10	24
OXA1L	2009	1542	1959	1880	1781	1460	1932	1477	1899
OXCT1	4600	3363	5083	4704	4654	3930	6128	4713	5436
OXCT2	0	0	0	8	1	7	13	7	4
OXER1	40	16	31	48	26	27	75	70	87
OXGR1	0	0	0	0	0	0	0	0	2
OXLD1	393	269	372	394	396	269	507	471	430
OXNAD1	975	679	1004	1020	1052	832	1512	1137	1393
OXR1	406	284	425	395.9996	466	296.00014	581	498.00002	583
OXSM	288	203.0001	256.9997	298.99964	262.99997	175.9998	333.0004	217.9999	329.999800086582
OXSR1	2502	1707	2650	2430	2364	1846	2552	2175	2398
OXT	1	0	0	0	0	0	0	0	0
OXTR	120.405	103.367	102.709	88.9984	137.39	80.7902	199.857	180.434	161.577
P2RX1	1	2	3	16	17	11	405	319	304
P2RX2	18.00004	10	14	24.00005	24	16.00003	21.99999	7	30.9999900246814
P2RX3	0	1	0	0	0	0	3	0	0
P2RX4	275.9999	229.9998	310.9999	290	311.0002	234.9997	646.9998	511.99970542842	591.0002
P2RX5	55.619333	32.2954	44.3991	63.5679	53.024	28.71237	150.205101091253	130.3626	115.25999
P2RX5-TAX1BP3	586.176	387.341	524.597	479.662	498.363	325.993	528.356	450.063	492.752
P2RX6	0	0	0	1	0	1	1	0	6
P2RX6P	0	0	0	0	0	0	0	0	0
P2RX7	139.215576307	83.8321000428282	164.236242	188.735	172.95066	98.802343	575.1801	434.944	570.90162
P2RY1	0	0	0	0	0	3	2	3	3
P2RY10	560	325	551	514	534	440	515	437	456
P2RY11	332.394	258.384	299.207	329.542	277.846	195.776	445.5	377.231	375.68
P2RY12	8	2	10	8	4	5	11	2	8
P2RY13	6	10	20	17	19	7	7	4	10
P2RY14	21	15	38.00003	17.00002	16	24	22.00003	24	22
P2RY2	5	0	1	0	2	0	2	10	2
P2RY4	2	2	1	1	2	2	2	4	3
P2RY6	31	6	21	22	23	17	17	8.72454	35.514
P2RY8	6771.56	4727.82	6256.76	6805.7	6004.92	4734.92	8531.72	7051.94	7416.74
P4HA1	1061.62	1014.5919	1620.5372	1064.4511	1159.4147	856.05431	2038.40343	1434.505	1619.265
P4HA2	7	7	20	5	7	4	20.99998	11	13.000000645702
P4HA3	0	0	0	1	1	0	0	0	0
P4HB	5376	3734	4972	5534	4779	3825	8562	6589	7133
P4HTM	606	451	561	649	628	370	973	755	829
PA2G4	8474.17	5952.64	9150.56	8024.26	7651.26	6582.42	8492.38	6450.58	7307.98
PA2G4P4	334.834	178.36	274.444	307.739	267.741	219.585	218.622	160.416	224.021
PAAF1	498.9998	349.999800215975	466.9998568	512.9992947	442.000647	307.00023	662.99957492	493.9999	587.00010028328
PABPC1	11622.8	8017.94	11738.9	12559.9	11167.9	9183.89	11948.7	9177.88	11273
PABPC1L	479	310	490	657	573	478	3000	2346	2547
PABPC1L2A	2.62768	4.0247	4.33942	2.48714	6.58451	5.67456	11.1513	0	5.50061
PABPC1L2B	0	0	0	0	0	0	0	0	0
PABPC1P2	61.5292	36.2791	51.959	37.2856	68.3434	35.5039	42.7809	33.8966	40.0768
PABPC3	7.06719	7.0565	13.0901	13.0742	6.05285	6.0391	3.02043	6.03832	3.02264
PABPC4	2877.996	2094.003	2565.003	2704.001	2544.999	2056.996	2383.002	1958.999	2235.997
PABPC4L	0	0	0	0	0	0	0	0	0
PABPC5	1	0	1	0	1	2	1	4	1
PABPN1	2408.88	1761.34	2467.82	2444.39	2185.28	1885.77	3396.49	3075.88	2513.17
PABPN1L	6	6	7	3	4	4	5	7	2
PACRG	38.4671	23.5368	53.4689	52.8835	36.389	23.7703	47.6188	34.1912	47.993
PACRG-AS1	0	0	0	0	0	0	1	0	0
PACRGL	360.0875	286.96086032	447.1656	354.6078	390.28964	269.24763	560.3556	355.04233	493.97932
PACS1	727	425	611	624	608	420	689	560	747
PACS2	772.92	475.744	689.412	714.127	723.571	576.3233	1284.491	1167.0696	1306.478
PACSIN1	1.0000004	0	0.9999999	1.0000002	2.000002	0.9999999	17.000001	5.999999	11.000034
PACSIN2	733.0001	553.0001	746.0002	802.99974	716.9997	562.0005	1203.004	1076.9992	981.99995
PACSIN3	94.00002	66	88	125	116.99999	64	230.00006	207.9998	219
PADI1	0	0	0	0	0	0	0	0	0
PADI2	0	0	0	0	1	0	2	3	1
PADI3	0	0	0	0	0	0	4	1	0
PADI4	0	0	0	0	0	0	0	0	0
PADI6	0	0	0	0	1	0	0	0	0
PAEP	0	0	0	0	0	0	0	0	0
PAF1	1816.99973	1142.00032	1836.0025	1743.9973	1521.9975	1305.00393	2117.0009	1802.0003	1838.9999
PAFAH1B1	5761	4017	5771	5719	5861	4542	7832	5926	6989
PAFAH1B2	1821.28192	1310.3461	1768.18521	1648.14322	1782.208	1332.57287	1981.515	1528.383	1795.44127
PAFAH1B3	1627.708	1018.6829	1344.095	1425.701	1287.608	987.673	1630.118	1400.548	1556.476
PAFAH2	506.381	304.12	395.411	384.979	345.442	241.927	361.052	341.98	392.982
PAG1	171.167	112.922	159.069	159.234	162.086	112.301	1054.88	718.022	896.723
PAGE1	0	0	0	0	0	0	4	1	3
PAGE2	0	0	0	0	0	1	0	0	0
PAGE2B	2	0	0	0	3	0	0	0	2
PAGE3	0	0	0	0	0	0	0	0	0
PAGE4	1	0	0	1	0	0	0	0	0
PAGE5	1	0	2	1	0	0	0	4	5
PAGR1	1854.68	1313.58	1873.97	1758.46	1683.62	1284.71	2037.46	1537.61	1625.9
PAH	0	0	3	4	3	1	4	0	4
PAICS	10027.87	6971.1066	11006.574	9982.68	10007.12	8261.6045	11086.84	8455.79	9816.61
PAIP1	1907.998	1478	2287.001	2189	2252.002	1813	3272.004	2443.002	2876.001
PAIP2	2689.0001	1870.0049	3069.9953	3080.9969	2886.999	2341	3617.0035	2583.9999	3164.9976
PAIP2B	62.0153	36.0476	63.0391	43.0873	58.0056	31.0263	84.0511	45.0338	69.0717
PAK1	26	12.000000384186	23.00000040474	20	18.00000133731	14	74	51	55
PAK1IP1	1443	944	1486	1468	1438	1262	1490	1023	1372
PAK2	4022.81	2734.12	3972.93	3975.91	4017.64	3218.8	5150.24	3814.53	5000.32
PAK3	0	0	0	0	0	0	0	0	1
PAK4	307.9993426867	181.0001	264.9996	305.0005	273.0003	217.99967425	440.0003669335	334.0006	474.0001
PAK6	20.23424	16.15586	17.1985	27.3704	27.4093	21.1913	44.48766	21.2636	28.4494
PAK7	0	0	0	0	1	0	0	1	0
PALB2	1113	819	1210	1191	1223	990	1700	1254	1427
PALD1	2743	1888	2498	2416	2211	1627	2272	2013	2110
PALLD	463.999700011009	358.99983	492.0004	404.9998	357.0003	327.00004	212.99978	193	214.999900042885
PALM	0	0	0	0	0	0	3	0	0
PALM2	325.956	205.522	319.411	295.096	336.955	226.504	364.822	277.615	334.688243916
PALM2-AKAP2	11.09477	31.7256	22.79409	44.6249	10.79265	34.3646	105.3763	11.31283	42.5599
PALM3	1	0	0	1	0	0	8	3	10
PALMD	24	9	30	18	16	17	19	21	22
PAM	158.000300767908	93.00004968	158.0000193	135.0000587725	132.999895553	86	163	117	147
PAM16	475	281.015	424	420.216	359	291	633.784	513	512.705
PAMR1	6	3	8	9	3	6	7	3	4
PAN2	2354.6948	1626.5748	2348.329	2590.115	2352.043	1988.634	4624.161	3440.537	3860.449
PAN3	836.015	781.2	928.453	841.875	911.432	597.084	1305.22	1014.48	1225.13
PAN3-AS1	69.3977	58.9114	54.5582	65.9293	59.8621	48.9838	157.586	99.1177	153.728
PANK1	329.04651	164.2571	320.5908	261.3896	302.91049	251.155	325.0549	316.2994	351.3667
PANK2	1396	1142.001	1482	1422	1342	1063	1897	1332	1583
PANK3	2426	1944	2777	2390	2672	2063	3135	2272	2791
PANK4	784	541	726	853	663	490	1015	879	949
PANX1	602	398	690	665	648	520	1068	794	919
PANX2	26	10	31	40.00004	28.99998	14	63	37	57
PANX3	0	0	0	0	0	0	0	3	0
PAOX	32	27.99998	38	69	54	31	182.9997	98	171.0002
PAPD4	1314	1025	1584.998	1333	1630.003	1282	2581.995	2205.998	2352.002
PAPD5	1171.497	759.427	1376.041	1025.54	1184.708	1022.703	1389.36	1130.149	1218.511
PAPD7	770.0004	590.0002	724	793.9995	743	559.9997	992	724.9996	882.9997
PAPL	197.335	114.408	157.718	153.101	120.041	111.707	114.631	86.1298	154.764
PAPLN	138.038	70.4868	130.543	86.4099	130.41	94.8984	135.809	111.579	106.714
PAPOLA	5676.842	3826.135	6237.023	5610.309	6068.713	4805.436	6310.326	4747.87	6019.235
PAPOLB	0	0	1	0	0	0	4	5	2
PAPOLG	1317.24	943.351	1508.8	1207.34	1364.44	1095.26	1680.14	1280.11	1566.7
PAPPA	12	6	13	19	10	9	20	14	16
PAPPA2	17	14	26	13	14	12	10	10	7
PAPSS1	3159	2284	3282	3385	3259	2494	4876	3799	4306
PAPSS2	11.0087429	13.009344	23.0279	15.018954	18.027843	16.015753	36.067446	15.057988	27.046416
PAQR3	464	266	431	409	532	353	781	666	675
PAQR4	1271.11	788.737	1170.49	1392.13	1285.53	928.368	1644.44	1496.22	1723.76
PAQR5	115.881	64.7186	106.52	109.647	106.828	70.7044	98.8427	101.146	91.6521
PAQR6	112.99992	53.99995	104.99995205689	109.00008	113.000032	70.99998	193.00004	149.99956352	216.999950124075
PAQR7	116.29	88.4382	127.036	112.294	124.957	74.4737	116.313	145.786	152.751
PAQR8	729.102	633.524	772.698	804.546	736.451	561.188	1150.44	857.317	1011.49
PAQR9	0	0	0	0	0	0	0	0	0
PAR-SN	376.177	265.64	363.728	305.521	369.208	250.918	423.819	383.784	406.525
PAR1	6	4	2	4	7	5	16	2	10
PAR4	0	0	0	0	0	0	0	0	0
PAR5	385	275	471.717	311.679	476.617	335.131	566	439	522
PARD3	6	12.0000310736	2.9999974956333	13	5	6	1	2.00000469683	0
PARD3B	1.0000003521914	0	1.0000003668968	2.0000012	0	0.9999998320455	1.0000003699027	0	0
PARD6A	269.9997	176.9996	255.0003	261.9996	227.9999	194.0004	342.9997	316.0001	298.9998
PARD6B	645.877	522.343	686.379	598.973	632.417	477.953	822.138	646.713	739.751
PARD6G	105.604	70.2798	115.172	77.7319	94.2408	78.5102	112.597	89.0782	129.005
PARD6G-AS1	22	7	21.99997	17.00001	24.00005	16.00002	25	25	15
PARG	2223.23	1463.29	2265.79	2232.9	2017.27	1766.79	3203.96	2438.53	3047.76
PARK2	50.4977	28.3276	55.5095	41.7457	49.8419	39.0321	37.2267	34.7256	41.8007
PARK7	4588.997	3213.004	4256.002	4438.999	4266	3360.996	4925	3617.002	4191.998
PARL	1630.001	1163	1562.997	1610.001	1581.998	1169	2111.997	1736.999	1909.996
PARM1	147	139	161	153	204	128	515	382	381
PARN	4535.5102	3260.396	4822.8115	4811.65	4585.5933	3948.67	8093.8661	6066.9524	7087.1381
PARP1	32327	21858	31438	31331	28710	23151	36064	27632	31534
PARP10	950	599	841	865	857	599	1340	987	1120
PARP11	293.621	187.736	253.14	265.612	294.636	216.811	410.857	339.955	328.744
PARP12	1395.63	925.212	1436.25	1319.02	1168.62	975.354	1679.52	1278.49	1572.13
PARP14	241.491	137.511	271.132	261.74	279.161	203.715	637.57	423.052	508.016
PARP15	129.0004	78.00004	88	122.0002	118	119.0005	250.0003	210.9997	233
PARP16	502	341	478	537	515	401	948	628	838
PARP2	1151.997	815.9997	1204.9951	1327.9997	1194.0009	938.9999	1737.9951	1339.0007	1454.9994
PARP3	131	63.00005	110.2105	137	122.00000826009	107	250.0001	191.9998	209.0005
PARP4	4385	3118	4368	4314	4085	3360	5836	4180	5021
PARP6	997	704	1022	1062	1053	726	2104	1599	1715
PARP8	1272.0001	965.2048	1495.0004	1390	1499.8322	1240.0006	2778.2595	2068.783	2582.63
PARP9	183.85717	126.1347	182.58660505	147.59436	171.9479	130.7835615295	224.8569	168.8408	209.9556
PARPBP	1146.24	828.68	1260.59	1120.25	1347.89	1069.09	1548.74	1205.82	1565.6
PARS2	189	124	190	215	175	132	309	249	276
PART1	193.43968	108.8572	161.3307	126.9409	147.1547	97.2091	105.1604	87.3238	103.7541
PARVA	56.3318	32.926	49.5842	58.6618	49.5314	31.9864	43.9282	40.7102	31.2567
PARVB	578	431.0001	530.9998	519.0003	436.9997	356.00016	455.9996	331.99984	392.0004
PARVG	3	0	10	0	0	1	3	5	5
PASD1	0	0	0	0	0	0	0	0	0
PASK	1417	928.0003017	1265	1378.9994	1357	985.000697723	1820.0001	1411.9996	1615.001
PATE1	0	0	0	0	1	0	0	0	0
PATE2	70.047	34.6853	86.1224	66.2675	69.571	65.493	80.7684	52.0761	89.9701
PATE3	0	0	0	0	0	0	0	0	0
PATE4	237	101	203	189	176	128	178	122	180
PATL1	1040	697	997	960	882	776	1559	1254	1417
PATL2	102	43	104	98	87	73	135	116	132
PATZ1	1355	810.0001	1343	1536	1341.001	981	2139	1716	1970
PAWR	1156	793	1214	1136	1105	901	1713	1419	1404
PAX1	3.999995	11	3.999996	2.999998	3.000003	1	2.999998	0.9999998	6.000001
PAX2	0	0	0	0	0	0	0.99999957	6.0000011	1.00000029
PAX3	2	1.0125	1.0086	2	0	3	6	0	1
PAX4	1	1	3	6	3	0	2	2	3.00385
PAX5	2517.79	1793.7	2263.19	2670.23	2229.9	1876.52	3789.6	3216.71	3440.39
PAX6	54.0000016034611	59.309574218075	61.1156421689133	38.2863596780716	68.99996907781	38.999969462316	78.999958019894	58.000004376447	55.99999137325
PAX7	0	0	0	0	0	0	1.0000002	0	0
PAX8	0	0	0	0	0	1	2	0	2
PAX9	2	0	1	1	0	1	1	3	1
PAXBP1	2640.0000460876	1840.0022	2885.00000006158	2672	3038.99583	2436.996796	3763.00000001353	3057	3132
PAXBP1-AS1	282.4109	177.9944	327.9118	217.6124	242.3249	179.4175	332.6379	296.8773	313.8192
PAXIP1	3222.81	2261.81	3302	2973.78	2750.51	2283.73	2806.96	2295.54	2604.81
PBDC1	579	410	543	555	548	457	741	560	651
PBK	1191	841	1249	1124	1260	1045	1138	853	1102
PBLD	286.7187	162.1436	247.3168	230.9529	241.1687	192.9209	250.8343	210.6086	239.1955
PBOV1	44.2194	41.4045	59.2439	52.2661	44.8818	48.4276	36.4045	28.9287	40.3072
PBRM1	5560	3827	5954	5557	5759	4546	6889	5241	6272
PBX1	1	2	1	1	1	0	1	0	0
PBX2	1289	822	1197	1271	1166	863	1685	1355	1470
PBX3	551.0003	440.0001	626.999	572.0004	692.9996	505.0004	1159.9996	894.0008	996.0003
PBX4	127	100	109	123	132.0003	73	317	242.9998	261.9999
PBXIP1	480	362	494	520	504	309	949	735	851
PC	17.0000118154	6.9999981593	13.00000942288	30.0000243017	22.000049889	9.0000040508	9.99999727383	14.0000146791	13.0000120948
PCA3	115.733	62.1563	143.277	125.492	113.578	96.4208	127.691	91.2134	124.34
PCAT1	88.4932	74.0902	96.269	75.7282	68.548	82.2433	101.582	89.5938	90.3897
PCBD1	223	158	200	249	208	165	387	252	255
PCBD2	592.512	377.661	609.704	534.581	557.305	400.701	555.68	502.787	565.354
PCBP1	2730	1952	2594	2793	2218	1855	2466	2016	2226
