TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
LOC643923	0	0	0	0	0	0	0	1	0
LOC644145	0	0	0	0	0	0	0	0	0
LOC644172	2	0	1.03089	2.36739	1.03723	4.51008	3.43694	1.02905	0
LOC644189	14	21	15	13	15	25	27	24	14
LOC644248	0	0	0	0	0	0	0	0	0
LOC644554	76	69	83	52	70	99	76	72	43
LOC644649	0	0	0	0	0	0	0	1	0
LOC644656	46	66	83	60	61	101	67	88	64
LOC644669	42.9775	55.3229	78.5169	47.066	57.7662	112.494	107.247	89.9976	77.4092
LOC644838	0	0	0	0	0	0	0	0	0
LOC644936	5.0024	7.00519	9.0065	6.62488	6.00587	11.0069	1.00089	1.00063	2.00168
LOC644961	296.717	300.455	297.956	500.086	517.662	1090.83	786.75	719.33	470.623
LOC645166	41.52618	54.72422	66.00287	41.30096	46.54946	91.42831	55.57456	66.1235	40.76663815
LOC645212	64.451	82.5611	83.3306	74.0398	48.33603	97.2546	93.8623	67.22357	62.4736
LOC645249	22	21	21	13	15	9	16	10	7
LOC645355	0	0	0	0	0	0	0	0	0
LOC645434	1	3	7	2	2	3	3	3	4
LOC645513	178.588	213.97	232.4	199.604	225.404	332.749	312.935	271.798	212.923
LOC645638	720	720	785	403	481	545	424	399	239
LOC645752	8.2118	18.5607	18.4288	6.29951	2.99649	14.4461	14.2525	0	2.70495
LOC645949	1	3	0	1	1	3	2	1	1
LOC646168	0	0	0	0	1	0	2	0	0
LOC646214	749.714	742.947	859.869	688.778	664.193	1081.39	841.223	664.734	514.555
LOC646268	0	0	1	0	0	0	0	0	0
LOC646278	13.1019	20.6445	34.6113	23.9739	18.0104	35.1217	25.96	20.8643	25.5403
LOC646329	63	98	101	125	133	236	212	184	121
LOC646471	40.9129	62.1206	72.7969	67.8332	61.3724	98.5307	70.9389	73.469	49.2596
LOC646498	1	2	0	3	2	2	1	1	1
LOC646626	24.3331	29.871	26.9637	25.8541	42.1757	48.4532	52.7655	33.6051	32.5672
LOC646719	682.188	725.047	814.249	569.583	535.628	682.651	495.488	434.321	315.007
LOC646736	7.60435	4.53396	5.40822	1.35132	1.09569	11.4357	5.99247	11.2461	5.82464
LOC646743	0	0	0	0	0	0	0	0	0
LOC646762	104.247	138.41	172.509	100.378	115.589	179.464	148.864	124.134	93.2108
LOC646813	1.03046	2.06579	1.01231	1.01563	0	2.32615	0	1.02459	2.03604
LOC646862	25	51	51	26	31	41	36	34	17
LOC646903	4	17	14	4	6	11	7	5	3
LOC646938	0	0	1	0	1	1	2	2	0
LOC646999	26.6809	69.3693	87.292	56.0242	50.9206	94.2953	53.5301	48.6816	36.0903
LOC647323	0	0	0	0	0	0	0	0	0
LOC647859	0	0	0	0	0	0	0	0	0
LOC648691	123.891	163.916	185.194	102.233	113.222	190.974	136.578	117.097	71.0547
LOC648987	43.8679	60.8661	70.3657	67.72528	56.3538	92.1817	79.7144	74.6114	45.215
LOC649133	0	0	0	0	1	0	0	1	0
LOC649330	2.00597	3.01023	7.02302	3.01045	7.01741	5.02343	4.01882	3.00595	4.02878
LOC649352	0	0	0	0	0	2	0	0	0
LOC649395	18.3116	19.9389	7.05079	12.7482	7.91097	12.836	16.958	6.86788	7.82606
LOC650226	3	1	7	4	5	9	6	4	6
LOC650293	5	3	6	4	2	8	7	4	2
LOC650368	33.3587	33.6242	44.5322	24.4716	29.5131	41.2458	19.1337	24.8123	16.7498
LOC652276	205.302	265.442	312.593	217.948	226.032	322.846	247.312	198.49	142.478
LOC653160	11.0035	19.0851	22.671	17.5568	14.1778	24.1023	9.0468	10.0041	8.09094
LOC653486	0	1	0	1	0	1	0	2	2
LOC653501	55.3051	69.34420954686	70.3628387672	75.0737	58.786600545459	87.557638543	81	63.3325	47.0631
LOC653513	1	2.25243	2.77131	1.69035	5.45161	2.80048	5.52276	5.94959	2.54869
LOC653653	49.0452	47.9234	49.0095	37.0448	41.9678	52.2931	37.1577	28.4161	28.3446
LOC653712	17.7121	13.9866	10.7449	13.2586	10.2107	13.7843	13.3258	24.5983	13.7599
LOC653786	28	19.5214	24.9436	34.2975	27.6802	62.3437	63.0014	54.3244	27.5632
LOC654342	45.7847	41.2195	51.5881	42.6725	51.1532	68.6477	73.8352	71.1223	37.1715
LOC654433	57.8178	96.2976	129.458	84.2881	84.4123	145.516	103.578	70.2321	66.4645
LOC727677	0	0	0	0	0	0	0	0	0
LOC727849	155.472	264.03611432	332.0742	229.99417971	214.609221	291.27281	217.505	170.4099	122.009
LOC727896	77.6819	122.972	148.299	75.8263	110.074	138.734	113.644	87.865	60.5157
LOC727915	0	0	0	0	0	0	0	0	0
LOC727924	0	0	0	0	0	1	2	0	0
LOC727982	3.00005	2.031	1.5402	3.0628	2.00002	2.75617	1.653	4.00012	1
LOC728012	0	0	0	0	0	0	0	0	0
LOC728024	73.7656	62.4335	88.4779	59.1847	60.3237	72.8877	62.8526	56.5428	48.2323
LOC728040	8	12	10	8	12	21	14	12	6
LOC728084	2	0	0	0	1	1	2	0	1
LOC728175	5	5	4	8	10	5	8	6	8
LOC728190	253.07	244.734	251.722	191.229	181	282.3	229.194	197.063	142.956
LOC728218	24.48	37.5616	43.9353	39.2713	58.6094	56.8866	44.6648	25.6241	37.2929
LOC728228	0	0	0	0	0	1	1	0	0
LOC728323	72.9627	82.1108	97.7393	76.9635	84.9024	137.263	136.336	125.289	80.9856
LOC728342	4.93296	15.3998	22.4357	19.4755	6.34915	27.6516	15.9157	17.9273	14.9529
LOC728377	34.7296	39.465	14.5809	30.3969	27.2993	31.2257	17.1539	13.3805	20.5505
LOC728392	5	10	5	13	18	25	20	23	18
LOC728407	129.071	131.899	155.525	119.683	139.585	231.491	157.969	135.153	85.3654
LOC728431	13.1419	15.32	25.4193	5.06967	6.1583	19.514	14.4297	18.3408	5.11458
LOC728463	2	2	1	3	3	2	3	2	0
LOC728537	29	41.5739	55.3425	39.334	48	46.7103	30.6702	28	39
LOC728554	543.982	492.503	632.101	361.376	337.594	384.23	331.994	249.394	223.392
LOC728558	165.623	203.58	251.613	190.063	189.716	329.133	205.402	173.021	118.342
LOC728606	88.794	137.353	131.152	96.9095	98.6615	151.675	98.1404	99.1425	40.3292
LOC728613	173.976	240.193	281.516	218.235	246.35	407.886	302.212	225.895	207.111
LOC728716	0	0	0	0	0	0	0	0	0
LOC728724	0	0	0	0	0	0	0	0	0
LOC728730	22.7522	45.4616	64.4081	35.4977	43.6691	59.1585	53.0932	34.2666	24.4487
LOC728739	25.7926	29	31	22	28.2173	41.4673	55.4101	26.5411	25
LOC728743	103	122	130	97	123	167	158	138	106
LOC728752	189.436	312.722	282.488	271.167	254.747	444.761	335.701	255.11	218.027
LOC728819	0	0	0	0	0	0	0	0	0
LOC728875	44.5795	31.1538001	26.3512	38.0416	28.6296	69.0476	37.6103	31.7037	33.547
LOC728989	0	4	4	3	1.07986	11	9.40391	6.64535	2.1387
LOC729013	108	134	137	99	120	140	103	111	78
LOC729020	1.03483	1.02064	0	2.09236	2.05153	0	0	1.03716	0
LOC729041	8.50557	15.4738	16.2301	9.06625	12.2842	23.7206	11.7665	10.604	4.47917
LOC729059	0	0	1	0	0	0	0	0	0
LOC729080	0	0	0	0	0	0	0	0	0
LOC729121	1	2	5	2	0	7	0	1	0
LOC729176	0	0	0	0	0	0	0	0	0
LOC729177	6	6	4	3	0	7	5	3	5
LOC729444	11.5972	12.2625	10.5762	7.04709	15.4612	22.7495	13.1384	13.7177	10.321
LOC729506	0	0	0	0	0	0	0	1	0
LOC729603	83.6766	116.074	106.316	80.1212	116.71	166.819	117.578	114.848	93.4043
LOC729609	117.21	188.993	193.247	117.784	126.745	203.283	133.885	103.174	81.6699
LOC729683	258.776	396.92	435.13	321.618	346.471	456.412	323.483	286.452	196.458
LOC729732	171.464	224.043	223.107	201.543	207.106	323.418	242.82	180.97	159.762
LOC729737	227.061	387.225	264.613	249.591	217.552	352.952	242.582	209.41	136.687
LOC729739	6	2	6	2	7.012	6.00263	2.00125	7.00502	2
LOC729852	172.212	192.456	216.266	178.341	164.273	236.333	182.016	171.399	120.039
LOC729911	0	0	0	0	0	0	0	0	0
LOC729950	0	0	0	0	0	0	0	0	0
LOC729966	0	0	0	0	2	0	5	1	2
LOC729970	12	9	14	11	14	19	13	7	5
LOC729987	237.572	297.43	301.235	242.251	250.401	437.791	298.246	252.461	189.297
LOC730091	60.6357	65.7592	60.8343	62.1227	34.9055	76.4672	67.0779	73.6396	44.9178
LOC730101	369	384	421	433	545	826	824	732	571
LOC730102	54.2734	52.2172	67.1838	52.281	53.269	92.1804	60.2484	64.2007	42.1871
LOC730159	0	0	0	0	0	0	0	0	0
LOC730183	50	81	77	72	69	115	91	83	57
LOC730227	71.9968	97.3838	107.273	76.52319068	78.806100101643	123.00855534	123.8010001404	102.497	88.6402
LOC730441	0	0	0	0	0	0	0	0	0
LOC730668	40.3588	53.7489	59.8389	39.8706	50.8257	73.1914	56.3887	37.6454	42.3703
LOC730811	0	0	0	0	0	0	0	0	0
LOC731223	0	1	1	4	0	1	2	0	0
LOC731275	576.213	706.813	789.732	668.043	734.388	1132.52	958.066	830.525	529.491
LOC731424	169.281	227.223	261.309	239.176	249.405	338.193	241.929	200.487	148.618
LOC731779	0	0	0	0	0	0	0	0	0
LOC732275	0	0	0	0	0	0	0	1	0
LOC79015	1	3	3	5	2	12	6	2	5
LOC81691	123	146.0005	166.0002	122	136.000027797	182.0003	130.999900011143	92	98
LOC84931	0	0	0	0	0	0	1	0	1
LOC90246	0	0	0	0	0	0	0	0	0
LOC90499	1	3	1	2	0	4	4	0	2
LOC90784	623.533	734.118	788.218	556.472	651.535	868.827	634.832	563.807	405.948
LOC90834	72.0636	130.32	119.682	73.4088	109.197	111.583	94.8714	94.4422	54.4393
LOC91450	2	3	5	6	5	5	8	6	3
LOC91948	367.149	386.979	415.455	381.432	450.749	750.227	889.832	787.299	557.257
LOC92249	40	54	72	61	86	115	89	64	55
LOC93432	0	0	0	0	0	0	0	0	1
LOC93622	129	158	165	132	106	165	148	154	110
LOC96610	367.388	337.151	382.545	292.522	292.598	493.93	365.804	301.029	227.89
LOH12CR1	315	359	353	262	290	419	286	231	195
LOH12CR2	19.5504	23.1128	27.7473	13.4752	22.52	40.3041	16.6809	21.1898	18.5786
LONP1	5730.998870998	6745.00488874	7421.00835407	5032.9936105539	5266.99470146597	7355.0023364395	5416.0040216581	4800.991345163	3429.00010312728
LONP2	2080.18	2263.2	2449.85	1572.36	1577.21	2144.09	1763.45	1516.97	1046.31
LONRF1	172	191	219	129	161	190	138	153	88
LONRF2	64.2638	97.2485	99.3465	70.4312	80.8571	114.257	91.1433	82.4947	56.914
LONRF3	0	0	1	2	0	2	2	2	0
LOR	1	6	4	1	4	2	4	3	1
LOX	10	18.00000387321	18.99998	14.99999	13	16	18	8	4
LOXHD1	0	0	0	0	0	2	0	0	0
LOXL1	1	1	2	0	3	5	5	2	3
LOXL1-AS1	17.934	38.98222	29.018	23.8212	29.0992	45.7217	33.460081	24.59273	24.48576
LOXL2	706.876	741.8	921.083	526.82	553.806	759.575	476.518	410	314.771
LOXL3	489.1	603.403	764.603	613.012	590.168	806.788	565.309	443.986	353.549
LOXL4	20	23	28	22	16	30	28	28	19
LPA	0	0	0	0	2	0	0	1	0
LPAL2	101.241	104.978	117.654	74.605	93.3316	142.881	103.433	91.7899	61.7082
LPAR1	0	0	0	0	0	0	0	0	0
LPAR2	328	376	477	357	324	521	460	413	307
LPAR3	4	1	2	5	2	10	8	6	0
LPAR4	9.01597	7.10198	8.78912	10.8027	2.60821	1.1231	6.28058	16.3842	4.63459
LPAR5	136	141.00018	176.0001	141.0001	153.9997	220.0003	124.00032	106	66
LPAR6	108.802	143.765	151.19272	121.0478	144.72283	225.426	163.7883	135.6147	95.44231
LPCAT1	5981	6375	7137	4656	4879	6312	4713	4208	3207
LPCAT2	18.2876	20.7583	25.7124	24.8096	19.018	28.9885	19.7323	21.5661	9.30376
LPCAT3	557.509	684.494	760.674	400.717	425.379	540.804	377.79	304.88	238.859
LPCAT4	354	429	494	254	240	360	242	226	152
LPGAT1	1188.5	1324.83	1416.21	997.418	1053.81	1381.94	1144.14	996.959	723.892
LPHN1	27.00003	46	42.00005	35.99998	40.99997	64.03687	56.00003	56.00000240455	33.99999
LPHN2	0	0	0	0	1	0	2	0	0
LPHN3	0	1	0	0	0	0	0	0	0
LPIN1	1757.1575	1832.7151	2020.213	2109.743	2261.928	3047.168	2583.388	2185.8029	1639.9966
LPIN2	2404	2455	2817	1998	2141	2785	1935	1838	1247
LPIN3	108.529	153.765	178.564	173.297	204.744	287.566	305.955	228.187	161.384
LPL	0	0	0	0	0	0	0	0	0
LPO	0	1	0	3	0	0	1	0	0
LPP	1196.568	1474.3220197801	1596.72700003107	1351.9887	1402.1738	2181.2459	1604.368	1292.4435	1041.9551
LPP-AS2	97.2329	124.554	142.155	99.8428	111.803	173.515	145.092	136.224	99.961
LPPR1	0	0	0	0	0	0	0	0	0
LPPR2	11	14	14	18.99998	11	13	18.99998	16	9
LPPR3	1	2	6	3	1	9	15	15	10
LPPR4	0	0	0	0	0	0	0	0	0
LPPR5	0	0	0	0	0	0	0	0	0
LPXN	966.0004	1013.0001	1156.0035	949	1116.9952	1551.997	1322.996	1136	850.0005
LRAT	26.6744	52.7017	59.6262	42.5547	45.9095	92.1906	60.1963	43.1751	45.6988
LRBA	2250	2445	2620.003	1809.001	2044.996	2778.998	2394.003	2122.996	1488
LRCH1	634	736.9999719	767.9996	577.9998251	618.9999	926	867.9997	733.9995	584.0005
LRCH2	0	0	0	0	0	1.0000000984	0	0	0
LRCH3	900	944	1008	731	782	1134	958	897	602
LRCH4	738.994	942.986	1183	964	963	1516	1324	1087	818
LRCOL1	1	1	1	4	3	6	4	6	0
LRFN1	793	994	1094	489	471	606	273	240	182
LRFN2	0	0	0	1	0	0	1	0	0
LRFN3	244	293	303	229	256	366	258	219	171
LRFN4	539	652	731	389	307	437	279	227	164
LRFN5	0	0	0	0	0	0	0	0	0
LRG1	45.8663	67.5795	70.516	57.8207	68.0308	92.1769	67.6613	90.7733	51.2592
LRGUK	5	11	9	5	8	11	16	6	4
LRIF1	593	608	663.9995	535.0001	567	819	691	637.9995	459.9997
LRIG1	1104.72	1122	1237.15	898	813	1172.38	1045	876	694.716
LRIG2	419	478	502	389	432	616	504	437	313
LRIG3	1	0	1	0	1	0	0	2	1
LRIT1	0	0	0	0	0	0	0	0	0
LRIT2	0	1	0	0	0	1	1	2	1
LRIT3	8	13	6	7	9	13	11	14	11
LRMP	7024	6910.999	7892.996	6105.998	6612.999	9155.005	6779.996	6167.997	4326.002
LRP1	116	122	141	179	227	388	500	423	303
LRP10	1928	2332	2462	2037	2248	3181	2341	2192	1579
LRP11	62	60	52	53.2464	65	90.0319	78.6503	97.6618	65.9862
LRP12	1.0000000521795	1.000000333312	0	0	0	0	2.000000645872	2.000000965172	0
LRP1B	0	0	0	0	0	2	0	0	1
LRP2	23.0295	44.0936	33.0706	38.0395	32.0363	50.0847	42.0671	36.0516	25.026
LRP2BP	179.432	204.257	232.956	203.686	215.278	369.732	352.104	261.328	206.387
LRP3	14	19	21	15	17	29	28	15	14
LRP4	66.3993	57	82.2584	46	58	57	66	61	41.1744
LRP4-AS1	17.1166	42.765	40.2823	33.8433	29.2606	47.378	43.6063	25.7578	33.289
LRP5	537.803	539.805	636	389	502	682	482	448	374
LRP5L	91.197	96.1954	124	94	103	132	128	94	72
LRP6	1373	1515.87	1698.74	1183	1170.87	1783	1376	1300	886.838
LRP8	1308.8555	1567.28	1592.407	946.8142	883.8423518358	1273.0418	821.3706	657.4609	531.9878
LRPAP1	630.761	839.622	946.004	628.37	695.593	976.772	718.622	625.673	450.861
LRPPRC	10327.9	10251.3	11401.4	6621.78	6534.65	8417.17	6158.24	5465.97	3951.89
LRR1	628.9997	678.9997	733.9995	425.9999	401.9999	590.0004	367.0005	319	245.9996
LRRC1	84	96	109	71	81	117	95	93	62
LRRC10	17.1278	12.9656	25.6283	14.4043	20.0674	28.4691	25.5596	16.3317	16.9167
LRRC10B	0	0	0	0	0	0	1	0	0
LRRC14	833.9924	855.53	1070.458	653.143	765.537	1077.505	824.091	681.5277	502.2426
LRRC14B	15	22	26	35	39	45	21	24	18
LRRC15	0	0.9999999036	1.0000000661	1.0000002015	2.0000015758	1.9999958878	3.000002201	1.9999998692	2.0000005232
LRRC16A	436.1546	476.9997	524.1445	437.182	423.9995	642.1815	679.241	646.2551	443.57
LRRC16B	291	341	399	409	484	725	460	408	276
LRRC17	1	1	0	0	1	1	0	1	1
LRRC18	50	64	57	42	43	83	67	45	32
LRRC19	43.3179	72.5041	70.3201	60.8222	49.3404	87.1612	75.1933	60.9465	29.6346
LRRC2	88.0799	164.223	167.522	108.573	115.759	218.237	130.139	116.038	93.5691
LRRC2-AS1	2	0	0	0	0	1	0	0	0
LRRC20	228.0001	241.0001	290.0003	178.0002	158	195	152	149.0001	99.00003
LRRC23	30	42.99997	61	53	55.99998	70	62.0001	63.99996	49
LRRC24	13.0079	9.4702	9.54232	30.8575	24.4629	15.4953	28.9092	14.4719	23.7578
LRRC25	84.5065	108.039	153.577	85.9335	101.426	156.214	116.338	109.495	82.6515
LRRC26	0	1	0	1	4	5	10	8	6
LRRC27	601.23986	798.99460416543	879.69473	623.77651145205	684.7092	1040.334049	790.8995917	687.105335	478.84854
LRRC28	136	123	122	138	122	219	151	170	113
LRRC29	21	20	15	21.00005	16	30.99999	24.99998	22.00002	18
LRRC3	60.6965	85.5439	94.7949	70.991	63.9692	110.571	74.9943	63.2034	49.2222
LRRC3-AS1	0	0	0	0	0	0	0	0	0
LRRC30	0	0	0	0	0	0	0	0	0
LRRC31	1	0	0	1	1	0	0	0	0
LRRC32	30.99995518	24	45	33	49	78.99999	88	83	70.99998
LRRC33	1123	1272	1509	958	965	1219	763	641	471
LRRC34	159	186	165	113	110	124	84	82.999993	65
LRRC36	4	4	3	8	3	13	14	7	7
LRRC37A	160.231	175.849	167.875	161.594	148.62	253.254	199.795	154.52	147.967
LRRC37A11P	12.4095	21.6151	38.0268	17.3354	21.4781	28.89	17.6231	23.7511	8.50852
LRRC37A2	698.759	676.043	779.827	658.364	790.046	1232.28	978.514	848.121	595.38
LRRC37A3	76.524	78.0596	92.8678	71.7426	95.9395	167.656	133.246	89.2793	58.9778
LRRC37A4P	707.498	754.112	867.446	766.512	838.307	1242.76	1066.85	898.624	710.921
LRRC37A5P	0	0	0	0	0	0	0	0	0
LRRC37A6P	24.7184	21.4057	29.4509	20.3957	20.3189	18.4775	25.4035	17.2732	14.2268
LRRC37B	93.0931	99.5646	106.878	84.643	88.0635	145.264	128.497	108.113	107
LRRC37BP1	563.034	665.401	708.678	480.36	505.083	817.593	601.433	522.635	380.553
LRRC38	8	4	2	3	1	4	5.02276	3	4
LRRC39	22.2989	16.9027	38.55174477	36.31263619	19.6999	50.105024591916	23.718	12.1936	13.9847
LRRC3B	0	0	0	0	0	0	0	0	0
LRRC3C	0	0	1	0	1	0	1	0	0
LRRC4	33	44	38	39	53	85	57	39	32
LRRC40	721	746	765	480	461	657	468	392	326
LRRC41	1455	1528.65	1721	1103	1207	1595	1104	911	726
LRRC42	581	615	689	428	441	597	415	375	277
LRRC43	1	2	2	3	11	11	12	10	6
LRRC45	232	242	306	202	247	351	400	349	253
LRRC46	20	24	39	24	21	42	40	31	21
LRRC47	1014.28	1164.75	1373.38	794.871	825.091	1125.35	801.347	749.539	562.458
LRRC48	51	90	91.2641	48	60	87	66	69	38
LRRC49	0	0	0	0	0	0	0	0	0
LRRC4B	5	6	8	5	7	12	13	10	11
LRRC4C	0	0	0	0	0	0	0	0	0
LRRC52	0	0	0	0	0	0	0	0	0
LRRC55	10.0041	12.0077	15.0099	9.00196	8.006	18.0077	9.00483	13.0027	8.00544
LRRC56	56.2807	60.1782	71.4915	44.0465	82.5155	121.949	82.1781	94.6161	67.5537
LRRC57	303.167	387.06	418.186	306.838	339.2	439.61	376.376	310.194	237.524
LRRC58	3407.67	3537.43	3865.71	2499.16	2425.74	3175.84	2374.37	2020.97	1530.41
LRRC59	2390.19	2798.51	3110.01	1671.56	1724.66	2265	1531.02	1337.86	946.26
LRRC6	1	3	4	7	5	7	7	4	2
LRRC61	263	264.9996	324	244.00039	218.0005	298.00011	231.00043	164.00017	133.0004
LRRC66	17	19	22	24	36	33	43	36	29
LRRC69	26	23	14	17	11	28	23	22	11
LRRC7	0	0	0	0	0	0	1	0	0
LRRC70	18	24	26	16	9	21	9	18	8
LRRC71	1	3	3	2	3	7	2	4	2
LRRC72	0	0	0	0	0	0	0	0	0
LRRC73	3	6	7	4.999996	4	6	5	3	1
LRRC8A	615.0003	698.0001	745.9997	597.0002	626.0002	967.9997	788.0001	688.0004	556.0004
LRRC8B	880.437	855.3579	1091.035	678.6161	712.897	901.596	617.981	584.146	406.969
LRRC8C	582	589	640	418	437	587	427	363	285
LRRC8D	310	331.999909454	358	272.9998	268.9997	385	286.9998	260	179
LRRC8E	26.0835	38.9158	43.4463	25.159	23.1826	31.719	29.3481	23.8924	15.173
LRRC9	1	2	2	4	3	1	2	0	1
LRRCC1	140	133	144	95	86	130	94	94	61
LRRD1	1	2	2	0	0	0	1	0	1
LRRFIP1	1673.3472	1915.01600001518	1927.50100151547	1310.1708	1274.9475	1848.346	1434.81	1261.1625	944.99739
LRRFIP2	760	808.999	876.999	646	629	928	677	622	474
LRRIQ1	1	0	1	2	3	1	2	2	0
LRRIQ3	3	3	7	5	3	6	8	3	5
LRRIQ4	5	6	5	7	5	5	6	9	3
LRRK1	2548	2715	2963	2543	2606	3797	2966	2508	1859
LRRK2	5485	5842	6329	5250	5486	7493	5696	5108	3660
LRRN1	0	0	1	2	1	5	2	3	1
LRRN2	2	2.000004	0.9999997	6.0000024	3	13.000033	10.999968	13	6.0000008
LRRN3	160	170	166	167.9996	167	223.1481	221.9997	211.9996	133.00002
LRRN4	4	8	5	6	4	6	8	7	5
LRRN4CL	48.796	76.1579	76.2425	64.818	59.6087	92.3387	70.9978	54.8609	35.0333
LRRTM1	0	0	0	0	0	0	0	0	0
LRRTM2	30.0044	15.0922	33.0093	30.0119	50.0002	70.1819	71.1652	70.0703	50.0692
LRRTM3	12	11	13	10	5	10	5	2	3
LRRTM4	1	3	6	2	4	9	2	2	2
LRSAM1	758	812.0001	943.999	660	690.0004	993.0003	758	645.0007	507
LRTM1	0	0	0	0	0	0	0	0	0
LRTM2	0	0	0	0	0	0	0	0	0
LRTOMT	184.27085	267.5582	301.2773	189.51516	218.8837070375	327.8473193521	227.34488	194.249382212	150.20056
LRWD1	592	626	751	440	519	678.272	537	503	312
LSAMP	62.1185	46.4036	73.8579	43.318	56.0582	123.997	71.9822	58.4037	44.4192
LSAMP-AS3	0	0	0	0	0	0	0	1	0
LSG1	2047.33	2052.02	2320.2	1423.86	1515.72	1968.83	1548.59	1430.23	1030.23
LSM1	562.7046	602.4241	664.7154	407.99988	377.9998	512.12847	367.1067	300.70081	215.3844
LSM10	227	222	268	162	162	216	132	123	91
LSM11	348	318	383	274	277	382	287	249	163
LSM12	1957.69	2073.17	2385.28	1278.75	1300.96	1798.33	1141.86	991.809	788.218
LSM14A	4290.21	4446.96	4949.71	3031.68	3106.99	4309.57	3072.186	2902.806	2084.046
LSM14B	868	993	1155	711	683	995	742	678	487
LSM2	740	751	815	517	526	646	424	390	272
LSM3	691	785	806	462	480	632	375	322	250
LSM4	1546.99597	1776.0039	1976.00034	1103	1135	1542.999	925.0003	887.99964	653
LSM5	734.4964	788.7706	858.9373	526.9702	493.38157	694.7304	418.3608	415.3481	237.37
LSM6	235	296	303	210	208	262	165	175	112
LSM7	894	1075	1262	755	833	1137	750	614	475
LSMD1	485	543.784	625	300	315.761	434	241.71	217	151
LSP1	855.6885	881.056300402663	1062.40880064246	564.027054	502.297	820.9241	652.590100020957	626.754270798	437.0497
LSP1P3	1	1	3.13664	0	0	0	1	0	1.01271
LSR	89.9999	153	149.99998659	115.0001	128	156	112	120.99998441727	80.99999
LSS	3465.002	4403.998	4862.001	4784.001	5554.999	7984.007	9293.01	8336	6254.998
LST1	3	2	0	1	1	3	2	3	1
LTA	262.0003	290.0001	341	630.9999	688.0005	981	735.0002	628.0002	562.9998
LTA4H	2604.0118612759	2781.0876	3211.10938	1920.118	1939.04002	2504.06495	2025.1808	1761.0973218155	1175
LTB	70	170.9997	215.0004	330.0004	352.9995	578	517	496.0004	347
LTB4R	378.4704	479.4082	564.4836	341.7894	388.4373	534.9156	470.31163	389.2053	278.8756
LTB4R2	112.7091	142.8827	206.174	127.007	142.8466	214.0993	173.0577	154.4573	96.018
LTBP1	44	50.99995101997	51	55.99996	55.00004	99.999988	126.00018	103.0000534	87.000003
LTBP2	58	71	77	54	69	100	121	80	57
LTBP3	115.6254	142.4033	143.437148	112.37554229	118.12570109972	147.039605409	148.175700070086	123.0788	86.3575
LTBP4	379.9999	468.9998	505.999500010303	349.0004	354	548.000300033921	361	334.000000014056	217.0003
LTBR	0	0	0	0	0	0	0	2	2
LTC4S	6	5	6	2	6	11	5	3	4
LTF	0	0	0	0	0	1	0	0	0
LTK	29	39	73	53	52	65.0001	69.9999	65	35
LTN1	1399	1512	1624	1157	1200	1629	1279	1124	841
LTV1	630	725	707	460	428	568	356	324	201
LUC7L	846.9997	950	1055	678.0003	645.0005	873	595.0005	576.0004	443.0001
LUC7L2	1718.952	2151.4938	2329.5805	1495.6019	1587.9605	2248.1092	1727.498	1492.0576	1144.3012
LUC7L3	2678.996	2964	3152	2157.001	2211.002	3204	2364.996	2102.996	1604
LUM	0	0	0	2	0	0	1	0	0
LURAP1	37.8009	69.7378	86.8071	46.9139	51.8284	72.6385	61.5106	53.0139	55.1957
LURAP1L	0	0	0	0	0	1	1	0	0
LUST	271.355	335.595	346.197	246.386	278.999	433.032	395.906	335.228	230.267
LUZP1	366	397.000078	389	274	323.0004	401	314	284.0004	207.00000155545
LUZP2	14.4536	39.1066	26.7822	21.0779	19.4256	28.8234	26.1491	24.4566	20.1108
LUZP4	0	0	0	0	0	0	0	0	0
LUZP6	3948	4053.5	4525.5	2815.5	2949	3675	2841	2526.5	1804.5
LXN	39	39	35	26	29	52	25	15	18
LY6D	0	0	0	0	0	0	0	0	0
LY6E	0	1.00000016	0	0	1.00000039	0	0	0	1.00000025
LY6G5B	137	171	199	91	100	126	115	68	79
LY6G5C	9	10	13	14	8	19	15	9	12
LY6G6C	0	0	0	0	0	1	0	0	0
LY6G6D	0	0	0	0	1	0	1	2	1
LY6G6E	0	0	0	1	0	2	0	1	0
LY6G6F	0	0	0	0	0	0	1	1	1
LY6H	0	0	0	0	0	0	0	0	0
LY6K	0	0	0	0	0	0	0	1.0029747	0
LY75	1614.51	1934.47	1958	2529.1	2959.97	3855.23	2865.49	2466.51	1743.66
LY75-CD302	1008.717	776.33	838.7671	842.54	589.82126	1055.574	881.122	703.7742	547.6782271
LY86	101	104	113	55	64	67	67	42	28
LY86-AS1	39	43	38	33	42	48	42	35	30
LY9	31	54.00006	48.99997	101.00000784	153	236.9999	305.0001	239	217.0001
LY96	34	41.99999	47.00004	39.00003	36.99995	51.00004	56	43.99996	40.00005
LYAR	399	486.000000803382	437.0002	279	227	379	169.000000017228	139	123.999812
LYG1	15	8	13	3	5	6	9	7	9
LYG2	2	4	4	1	3	6	4	1	3
LYL1	167	207	228	177	189	261	152	145	86
LYN	12658.96	13091.04	14359.95	9837	10261	13585.97	10544	9360	7011
