Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
F12	X	1	K07	Z1919855775	100	18869	18728	18798.5	0.8215768542
G12	X	1	L07	Z1626505211	100	18520	18372	18446	0.806171059
H12	X	1	M07	Z1143402100	100	454	472	463	0.02023512958
I12	X	1	N07	Z969007916	100	488	492	490	0.02141514794
J12	X	1	C09	Z1256159460	100	3403	3396	3399.5	0.1485730519
K12	X	1	D09	Z1256891593	100	16524	16396	16460	0.7193741532
L12	X	1	E09	Z1652213297	100	18176	18032	18104	0.7912241598
M12	X	1	F09	Z363389670	100	527	552	539.5	0.02357851493
N12	X	1	G09	Z1768631383	100	19754	19596	19675	0.8598837463
O12	X	1	H09	Z2007467589	100	17966	17844	17905	0.7825269875
B13	X	1	G07	Z425610922	10	22243	22088	22165.5	0.9687295136
C13	X	1	H07	Z30839831	10	19705	19576	19640.5	0.8583759451
D13	X	1	I07	Z2003994118	10	23327	23152	23239.5	1.015668022
E13	X	1	J07	Z2007959989	10	18138	18024	18081	0.790218959
F13	X	1	K07	Z1919855775	10	24168	23996	24082	1.052488965
G13	X	1	L07	Z1626505211	10	21459	21312	21385.5	0.9346400944
H13	X	1	M07	Z1143402100	10	13311	13220	13265.5	0.5797605
I13	X	1	N07	Z969007916	10	8150	8108	8129	0.3552729339
J13	X	1	C09	Z1256159460	10	19593	19444	19518.5	0.8530440103
K13	X	1	D09	Z1256891593	10	20570	20432	20501	0.8959835672
L13	X	1	E09	Z1652213297	10	23712	23540	23626	1.032559766
M13	X	1	F09	Z363389670	10	10135	10084	10109.5	0.4418294655
N13	X	1	G09	Z1768631383	10	24159	23984	24071.5	1.052030069
O13	X	1	H09	Z2007467589	10	21557	21420	21488.5	0.9391416459
B14	X	1	G07	Z425610922	1	24648	24484	24566	1.073641886
C14	X	1	H07	Z30839831	1	22625	22472	22548.5	0.9854682925
D14	X	1	I07	Z2003994118	1	22649	22500	22574.5	0.9866046064
E14	X	1	J07	Z2007959989	1	21692	21544	21618	0.9448013636
F14	X	1	K07	Z1919855775	1	22005	21864	21934.5	0.958633801
G14	X	1	L07	Z1626505211	1	23500	23340	23420	1.023556663
H14	X	1	M07	Z1143402100	1	22771	22612	22691.5	0.9917180193
I14	X	1	N07	Z969007916	1	20215	20072	20143.5	0.88035925
J14	X	1	C09	Z1256159460	1	22298	22148	22223	0.9712425156
K14	X	1	D09	Z1256891593	1	22406	22256	22331	0.975962589
L14	X	1	E09	Z1652213297	1	23987	23824	23905.5	1.044775141
M14	X	1	F09	Z363389670	1	20784	20640	20712	0.9052051921
N14	X	1	G09	Z1768631383	1	22917	22764	22840.5	0.9982299725
O14	X	1	H09	Z2007467589	1	22031	21884	21957.5	0.9596390018
B15	X	1	G07	Z425610922	0.1	23502	23332	23417	1.02342555
C15	X	1	H07	Z30839831	0.1	20785	20636	20710.5	0.9051396355
D15	X	1	I07	Z2003994118	0.1	25191	24996	25093.5	1.096695949
E15	X	1	J07	Z2007959989	0.1	20482	20336	20409	0.8919627639
F15	X	1	K07	Z1919855775	0.1	24940	24748	24844	1.085791705
G15	X	1	L07	Z1626505211	0.1	22819	22652	22735.5	0.9936410122
H15	X	1	M07	Z1143402100	0.1	24718	24528	24623	1.076133036
I15	X	1	N07	Z969007916	0.1	19983	19840	19911.5	0.870219833
J15	X	1	C09	Z1256159460	0.1	25058	24864	24961	1.090905118
K15	X	1	D09	Z1256891593	0.1	22086	21924	22005	0.96171496
L15	X	1	E09	Z1652213297	0.1	22960	22788	22874	0.9996940693
M15	X	1	F09	Z363389670	0.1	21644	21484	21564	0.9424413269
N15	X	1	G09	Z1768631383	0.1	23487	23304	23395.5	1.022485905
O15	X	1	H09	Z2007467589	0.1	12182	12120	12151	0.5310519645
B17	X	1	I09	Z1664086761	100	21041	20892	20966.5	0.9163279577
C17	X	1	J09	Z3077929551	100	20986	20828	20907	0.9137275469
D17	X	1	K09	Z2059591546	100	19280	19140	19210	0.839561208
E17	X	1	L09	Z751963388	100	18550	18412	18481	0.8077007124
F17	X	1	M09	Z108830236	100	19923	19784	19853.5	0.8676849788
B18	X	1	I09	Z1664086761	10	24434	24272	24353	1.064332853
C18	X	1	J09	Z3077929551	10	22152	22008	22080	0.9649927888
D18	X	1	K09	Z2059591546	10	25430	25248	25339	1.107425375
E18	X	1	L09	Z751963388	10	19889	19764	19826.5	0.8665049604
F18	X	1	M09	Z108830236	10	24975	24804	24889.5	1.087780254
B19	X	1	I09	Z1664086761	1	24011	23856	23933.5	1.045998864
C19	X	1	J09	Z3077929551	1	23487	23328	23407.5	1.023010358
D19	X	1	K09	Z2059591546	1	22836	22688	22762	0.9947991784
E19	X	1	L09	Z751963388	1	22688	22532	22610	0.9881561121
F19	X	1	M09	Z108830236	1	22396	22252	22324	0.9756566584
B20	X	1	I09	Z1664086761	0.1	23923	23748	23835.5	1.041715834
C20	X	1	J09	Z3077929551	0.1	21419	21264	21341.5	0.9327171015
D20	X	1	K09	Z2059591546	0.1	23972	23788	23880	1.043660679
E20	X	1	L09	Z751963388	0.1	19771	19632	19701.5	0.8610419125
F20	X	1	M09	Z108830236	0.1	24804	24620	24712	1.080022726
H17	N	1	DMSO	DMSO	DMSO	25036	24852	24944	1.090162143
I17	N	1	DMSO	DMSO	DMSO	24154	23968	24061	1.051571173
J17	N	1	DMSO	DMSO	DMSO	21736	21576	21656	0.9464621302
K17	N	1	DMSO	DMSO	DMSO	23596	23416	23506	1.02731524
L17	N	1	DMSO	DMSO	DMSO	24237	24052	24144.5	1.055220489
M17	N	1	DMSO	DMSO	DMSO	21407	21248	21327.5	0.9321052402
N17	N	1	DMSO	DMSO	DMSO	22885	22712	22798.5	0.9963943884
O17	N	1	DMSO	DMSO	DMSO	22894	22728	22811	0.9969406932
H18	N	1	DMSO	DMSO	DMSO	25146	24980	25063	1.095362965
I18	N	1	DMSO	DMSO	DMSO	21257	21124	21190.5	0.9261177396
J18	N	1	DMSO	DMSO	DMSO	24091	23924	24007.5	1.049232988
K18	N	1	DMSO	DMSO	DMSO	22333	22188	22260.5	0.97288143
L18	N	1	DMSO	DMSO	DMSO	24261	24096	24178.5	1.056706438
M18	N	1	DMSO	DMSO	DMSO	21217	21080	21148.5	0.9242821555
N18	N	1	DMSO	DMSO	DMSO	23419	23260	23339.5	1.02003846
O18	N	1	DMSO	DMSO	DMSO	22894	22748	22821	0.997377737
H19	N	1	DMSO	DMSO	DMSO	24449	24288	24368.5	1.065010271
I19	N	1	DMSO	DMSO	DMSO	23930	23764	23847	1.042218435
J19	N	1	DMSO	DMSO	DMSO	21085	20952	21018.5	0.9186005856
K19	N	1	DMSO	DMSO	DMSO	22115	21968	22041.5	0.96331017
L19	N	1	DMSO	DMSO	DMSO	23481	23324	23402.5	1.022791836
M19	N	1	DMSO	DMSO	DMSO	22159	22012	22085.5	0.9652331629
N19	N	1	DMSO	DMSO	DMSO	22098	21952	22025	0.9625890477
O19	N	1	DMSO	DMSO	DMSO	21526	21392	21459	0.9378523666
H20	N	1	DMSO	DMSO	DMSO	26503	26304	26403.5	1.153948691
I20	N	1	DMSO	DMSO	DMSO	20003	19864	19933.5	0.8711813295
J20	N	1	DMSO	DMSO	DMSO	24417	24228	24322.5	1.062999869
K20	N	1	DMSO	DMSO	DMSO	21783	21624	21703.5	0.9485380884
L20	N	1	DMSO	DMSO	DMSO	23727	23548	23637.5	1.033062366
M20	N	1	DMSO	DMSO	DMSO	22330	22164	22247	0.9722914208
N20	N	1	DMSO	DMSO	DMSO	22727	22556	22641.5	0.9895328001
O20	N	1	DMSO	DMSO	DMSO	21876	21720	21798	0.9526681526
B22	P	1	CPI	CPI-455	CPI-455	182	200	191	0.008347537258
C22	P	1	CPI	CPI-455	CPI-455	343	340	341.5	0.01492504698
D22	P	1	CPI	CPI-455	CPI-455	254	252	253	0.01105720904
E22	P	1	CPI	CPI-455	CPI-455	238	236	237	0.0103579389
F22	P	1	CPI	CPI-455	CPI-455	367	364	365.5	0.01597395219
G22	P	1	CPI	CPI-455	CPI-455	206	204	205	0.008959398628
H22	P	1	CPI	CPI-455	CPI-455	202	200	201	0.008784581093
I22	P	1	CPI	CPI-455	CPI-455	190	188	189	0.008260128491
J22	P	1	CPI	CPI-455	CPI-455	222	220	221	0.009658668764
K22	P	1	CPI	CPI-455	CPI-455	181	180	180.5	0.007888641231
L22	P	1	CPI	CPI-455	CPI-455	230	228	229	0.01000830383
M22	P	1	CPI	CPI-455	CPI-455	335	332	333.5	0.01457541191
N22	P	1	CPI	CPI-455	CPI-455	189	188	188.5	0.008238276299
O22	P	1	CPI	CPI-455	CPI-455	187	204	195.5	0.008544206984
B02	X	2	C03	Z2973968709	100	23614	23448	23531	0.8581765549
C02	X	2	D03	Z2846909912	100	23250	23068	23159	0.8446096993
D02	X	2	E03	Z1919601756	100	10293	10244	10268.5	0.3744926248
E02	X	2	F03	Z2059611433	100	25487	25284	25385.5	0.9258102475
F02	X	2	G03	Z116401644	100	23014	22848	22931	0.8362945298
G02	X	2	H03	Z27018291	100	26657	26448	26552.5	0.9683707864
H02	X	2	I03	Z3361170311	100	13668	13588	13628	0.4970137304
I02	X	2	J03	Z1665834106	100	23678	23492	23585	0.8601459372
J02	X	2	K03	Z2007878939	100	20922	20760	20841	0.7600721423
K02	X	2	L03	Z1273274105	100	3132	3144	3138	0.1144429913
L02	X	2	M03	Z27705739	100	23676	23488	23582	0.860036527
M02	X	2	N03	Z234897125	100	24701	24512	24606.5	0.8974000849
N02	X	2	C05	Z3393334332	100	20135	19992	20063.5	0.7317166848
O02	X	2	D05	Z2184788502	100	24360	24180	24270	0.8851279158
B03	X	2	C03	Z2973968709	10	26985	26808	26896.5	0.9809164808
C03	X	2	D03	Z2846909912	10	24989	24824	24906.5	0.9083410975
D03	X	2	E03	Z1919601756	10	25089	24908	24998.5	0.9116963413
E03	X	2	F03	Z2059611433	10	25357	25192	25274.5	0.9217620729
F03	X	2	G03	Z116401644	10	28301	28104	28202.5	1.028546355
G03	X	2	H03	Z27018291	10	28700	28504	28602	1.043116137
H03	X	2	I03	Z3361170311	10	25866	25684	25775	0.9400153288
I03	X	2	J03	Z1665834106	10	23902	23748	23825	0.8688987472
J03	X	2	K03	Z2007878939	10	26949	26756	26852.5	0.9793117989
