Well	Well_Type	Plate_No	Source_Well	Molecule_Name	Concentration	Signal_Rep1	Signal_Rep2	Signal_Avg	Signal_Relative_to_DMSO
G06	X	2	G03	CB83147402	0.1	88949	88280	88614.5	1.011419087
H06	X	2	H03	CB90512907	0.1	87905	87248	87576.5	0.9995716693
I06	X	2	I03	CB34843398	0.1	83598	82976	83287	0.9506126144
J06	X	2	J03	CB40551911	0.1	82960	82344	82652	0.9433649165
K06	X	2	K03	CB49651708	0.1	83525	82896	83210.5	0.9497394665
L06	X	2	L03	CB97439664	0.1	81856	81244	81550	0.930787022
M06	X	2	M03	CB32128362	0.1	76428	75852	76140	0.8690389191
N06	X	2	N03	CB63893507	0.1	71956	71440	71698	0.8183392753
C09	X	2	C05	CB44462509	100	0	132	66	0.0007533040276
D09	X	2	D05	CB59131084	100	17332	17236	17284	0.1972743457
E09	X	2	E05	CB63206467	100	1194	1252	1223	0.01395895191
F09	X	2	F05	CB67271987	100	7753	7728	7740.5	0.08834772463
G09	X	2	G05	CB67730375	100	195	252	223.5	0.002550961366
H09	X	2	H05	CB95613023	100	22758	22612	22685	0.2589197252
I09	X	2	I05	CB17777655	100	7650	7656	7653	0.08734902611
J09	X	2	J05	CB43433036	100	1170	1252	1211	0.01382198754
C10	X	2	C05	CB44462509	10	61754	61368	61561	0.7026386249
D10	X	2	D05	CB59131084	10	85297	84660	84978.5	0.9699188835
E10	X	2	E05	CB63206467	10	67664	67176	67420	0.7695114779
F10	X	2	F05	CB67271987	10	59561	59140	59350.5	0.6774086468
G10	X	2	G05	CB67730375	10	50500	50172	50336	0.5745198717
H10	X	2	H05	CB95613023	10	81598	80992	81295	0.9278765292
I10	X	2	I05	CB17777655	10	80673	80044	80358.5	0.9171876016
J10	X	2	J05	CB43433036	10	31400	31284	31342	0.3577281035
C11	X	2	C05	CB44462509	1	90892	90304	90598	1.034058156
D11	X	2	D05	CB59131084	1	104783	104048	104415.5	1.19176692
E11	X	2	E05	CB63206467	1	87396	86812	87104	0.9941786973
F11	X	2	F05	CB67271987	1	87609	87004	87306.5	0.996489971
G11	X	2	G05	CB67730375	1	86738	86136	86437	0.9865657611
H11	X	2	H05	CB95613023	1	91799	91168	91483.5	1.044164985
