baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABLIM2	18.4741703696288	1.82152442361928	0.474872960930775	3.83581415132375	0.00012514902115967	0.00142662843389469
ABRAXAS1	640.178241154239	-0.234074604652998	0.0867558358825493	-2.69808482935822	0.00697396669788595	0.0447272008596365
ABRAXAS2	1051.21411060123	-0.333298848312532	0.0875626860723586	-3.80640274142693	0.000141002704856476	0.00158012709693984
ABTB2	834.399093430794	0.325893629396592	0.0796323997562535	4.09247530394813	4.26792710454735e-05	0.000555910794413118
ACAA2	2090.31983307504	-0.322712146292484	0.0740238395971781	-4.35957048497639	1.30317974627503e-05	0.000197057310514162
ACACA	958.289320152496	-0.616322659813671	0.08753292387705	-7.04103818900608	1.90812695529313e-12	1.18736038177742e-10
ACAD11	159.474750581975	0.538505561914427	0.153604954740208	3.50578249787061	0.000455267086771162	0.00437326191203587
ACADVL	1353.00820213747	0.51829905185205	0.0748717301791316	6.92249331773171	4.43762735248776e-12	2.56448981760523e-10
ACAP3	240.388691202031	0.724919306455376	0.12884685029995	5.62620898196421	1.84213154452267e-08	5.36103273549597e-07
ACAT1	658.650648597958	-0.331345498589368	0.0906505011238734	-3.65519764900787	0.000256983915360202	0.00266264574495933
ACAT2	952.900896109892	-0.413503172187067	0.0913479522309083	-4.5266824497808	5.99168707835438e-06	9.84045061196804e-05
ACBD3	989.330178222586	-0.208043115351542	0.0781406470622691	-2.66241864091239	0.00775813219919311	0.0489716989676481
ACER2	156.065637992798	1.15924557119367	0.162873210806322	7.11747232988592	1.09924278174001e-12	7.01524625669508e-11
ACLY	8795.14640210591	-0.360229625682463	0.0649888740954569	-5.54294301442045	2.97429680358766e-08	8.27697016071348e-07
ACO2	2658.22974583207	-0.264136755704726	0.0655243975511706	-4.03112070581727	5.55115239502844e-05	0.000697281521297257
ACOT7	829.572150439053	-0.556101265105499	0.0934680422810941	-5.94964066363014	2.68731807739521e-09	9.48017976813412e-08
ACP1	1334.5630262483	-0.310132104075548	0.0791970915288018	-3.91595320091725	9.00477159098605e-05	0.0010623533296207
ACP3	878.16227562893	-0.470875289489405	0.0993423957060519	-4.73992283096027	2.13799630311791e-06	3.88748402395304e-05
ACSBG1	766.259017393448	-0.50734017966381	0.0891749745016843	-5.68926632722757	1.27586348096803e-08	3.81230359935331e-07
ACSL3	2778.95956842016	-0.340110610769206	0.0706202810128458	-4.81604725853951	1.46429857974671e-06	2.76646619786646e-05
ACSL4	2505.26291109143	-0.329298141224228	0.0731668667583234	-4.50064565853187	6.77473612873362e-06	0.0001099834478185
ACSS2	276.098284756938	0.337722525530603	0.12366920091057	2.73085394782183	0.00631704596652609	0.0411738299627615
ACTA2	210.948174261252	0.582742665930948	0.139432078416338	4.17940170260466	2.92277017389797e-05	0.000400660503330961
ACTB	94553.1953216548	-0.564171754524448	0.06208797558426	-9.08665082434209	1.02136767494286e-19	1.75199682654221e-17
ACTG1	14955.7801775278	-0.386177409718198	0.069666213666316	-5.54325245186845	2.96904314894728e-08	8.26944835815041e-07
ACTG2	470.463750913753	0.501755279728479	0.103566609240809	4.84475916906594	1.26765347681074e-06	2.43756380297771e-05
ACTL6A	947.507623343238	-0.498097526866134	0.0779907359108893	-6.38662427080122	1.69587627334159e-10	7.49050528361503e-09
ACTN4	3270.72815530562	-0.198416688225085	0.059766552659005	-3.31986168513251	0.000900620573657309	0.00786799218484774
ACTR1A	1521.3758146829	-0.250523559516988	0.0762518403576803	-3.28547558120353	0.00101810366766847	0.00872737200047906
ACTR2	14089.5777733365	-0.306936051213796	0.0736496050773987	-4.16751795058827	3.07934270268144e-05	0.000419287234023236
ACTR3	8936.00032879425	-0.202761272919762	0.0621826823868421	-3.26073538703867	0.0011112369010086	0.00939300388005765
ADA	640.793567811873	0.527477625624248	0.0916731760678483	5.75389277703061	8.72114832327758e-09	2.69329011482352e-07
