baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCC2	4.66050554013301	0.594524356817156	0.925045031710394	0.642697745987446	0.520420243881517	0.999958123893525
ABCC3	3.5920782532358	0.499989399804396	1.05444114148074	0.47417478333809	0.63537527385887	0.999958123893525
ABCC4	2052.31450722414	0.0845119566918521	0.0710790154656808	1.18898603389712	0.234445162760551	0.999958123893525
ABCC5	1336.68803834142	0.0377978811979495	0.0754312645980551	0.501090382076453	0.616307515412987	0.999958123893525
ABCC5-AS1	15.9711893016119	0.0467069221761367	0.507200417822794	0.0920877044554313	0.926628357364478	0.999958123893525
ABCC6	2.85368224683447	-1.05830006357517	1.22843511150373	-0.861502617162826	0.388961280351417	0.999958123893525
ABCD1	31.5777847284509	0.00676309603904392	0.387102286256678	0.0174710826547779	0.986060802023362	0.999958123893525
ABCD2	896.522228258875	0.0655242926646918	0.0978462246061475	0.669666028796118	0.503070712059265	0.999958123893525
ABCD3	2284.79727911437	0.0503108503684079	0.0750183784848996	0.670646998568957	0.502445434656718	0.999958123893525
ABCD4	480.12173018616	0.0500773263461615	0.10474797319572	0.478074418228532	0.632597239060826	0.999958123893525
ABCE1	6666.45128610643	0.0413376569877602	0.0736073326113949	0.561596997489362	0.574390626569163	0.999958123893525
ABCF1	617.823553885448	-0.0750724704065762	0.0963976939077631	-0.778778696494631	0.436110089034962	0.999958123893525
ABCF1-DT	12.3409871365036	-0.797369687254867	0.597514652817259	-1.33447721071826	0.182047510690583	0.999958123893525
ABCF2	2896.64867133313	-0.112737150789105	0.0791426835823286	-1.42447975840786	0.154307640467427	0.999958123893525
ABCF2-H2BK1	1958.44624634269	-0.0695696644244792	0.0743530282911816	-0.935666858813473	0.349444739112564	0.999958123893525
ABCF2P1	7.85176879039582	0.0282303633834903	0.727124540701712	0.0388246604305867	0.969030183473541	0.999958123893525
ABCF3	1107.30174457076	0.0306108575798348	0.0849744887835341	0.360235854525864	0.718670764036226	0.999958123893525
ABCG1	176.642772285782	-0.31716842975831	0.169619755740094	-1.8698790619903	0.0615006140110885	0.999958123893525
ABCG4	0.577135553176435	-1.36457195697964	2.66941967977282	-0.511186744939175	0.609220299313593	0.999958123893525
ABCG5	5.23006593164074	-0.133001753280143	0.903269957102738	-0.147244743649783	0.882938845133006	0.999958123893525
ABCG8	10.1523135783578	-0.629223824552601	0.630369864312633	-0.99818195661799	0.318191134192595	0.999958123893525
ABHD1	121.64796952501	0.0595136380715155	0.192437745017196	0.309261772248461	0.757122407840661	0.999958123893525
