baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AFTPH-DT	130.038914848958	0.65677868697168	0.213444411931923	3.07704793499657	0.00209061678694601	0.0106238191210736
AGA	404.124758409777	0.700377545483968	0.118747131261081	5.89805865662638	3.67803234297612e-09	4.90795444747071e-08
AGA-DT	68.6301199098028	0.733062209487804	0.26548284590797	2.76124134115211	0.00575821080298254	0.0256755453333786
AGAP3	183.067835166829	1.36383585218411	0.187577185081023	7.2707981602081	3.57369580724656e-13	7.45980381057216e-12
AGBL5	1957.54119628682	0.264720949692754	0.0629233727124971	4.20703688122837	2.58740927583172e-05	0.000197519352194004
AGFG2	280.905298689748	0.51563405263253	0.143807464583186	3.58558614552486	0.000336321957498215	0.0020602978773789
AGL	2711.10719225798	-0.409055972457276	0.0596158040041042	-6.86153578385212	6.81241341368838e-12	1.23564630141703e-10
AGO1	2281.33333008752	-0.357971252531673	0.0590638877783484	-6.06074652374811	1.35491210949408e-09	1.89896349000041e-08
AGO2	2632.67255384836	-0.189948016563106	0.0616477401207996	-3.08118377398589	0.00206179351958341	0.0104996791042042
AGPAT2	95.5258748055735	2.25743149852225	0.24847202146562	9.08525428821613	1.03456560613085e-19	3.93211727352449e-18
AGPAT3	1169.62850618445	-0.401576046932956	0.0819367945643435	-4.90104658191877	9.53274477558586e-07	9.18449208338099e-06
AGRN	158.959882215387	0.701623460125495	0.191142232227308	3.67068780117162	0.000241898659423999	0.00153313702076314
AGTPBP1	3886.35683515917	0.364218597333422	0.0624505744347437	5.83210964238613	5.47309342546077e-09	7.12794845428559e-08
AGTRAP	240.61265872023	0.593319296367677	0.151469120569923	3.91709738681543	8.96215502357982e-05	0.000617004606607999
AHCY	7022.5346401183	-0.231846582345538	0.0554275848671059	-4.18287361611402	2.87847426987473e-05	0.000218112888597421
AHCYL1	2014.6415750248	0.406101068376218	0.069495942018277	5.84352203283202	5.11085350194094e-09	6.68045588486745e-08
AHCYL2	776.84506168963	0.64357889266167	0.0870858667759574	7.3901646327685	1.46647126149324e-13	3.17581851862109e-12
AHNAK	200.735239760203	-1.25724586708631	0.162634180719268	-7.73051434529931	1.07112918703162e-14	2.60450075932158e-13
AHR	717.054098394834	0.346043483497811	0.0922932321777652	3.74939175205501	0.000177263991126658	0.0011515893974933
AHRR	255.70076056101	0.429576308014946	0.143375210693902	2.99616862591447	0.00273395203868554	0.0134082614967883
AHSA1	6752.45416625402	-0.704883264311311	0.0441128081620348	-15.9791066060029	1.78688540552793e-57	3.03524928054628e-55
AICDA	1077.05450239952	0.98004762458327	0.0782628579282041	12.5225126008347	5.62265875161494e-36	4.89130369700561e-34
AIDA	1059.16003768696	0.342410966557655	0.0744890568334047	4.59679557124021	4.29038192859426e-06	3.75144129550493e-05
AIF1L	20.8751358572842	1.91628288268235	0.591955047908816	3.23721013859405	0.00120704493139674	0.00650509741999138
